,NAME,B03001_001E,B03003_003E,B02001_002E,B02001_003E,B02001_005E,state,place,year
0,"Oatfield CDP, Oregon",14189,628,13286,53,165,41,54325,2013
1,"Silverton city, Oregon",9263,740,8624,5,222,41,67650,2013
2,"Oak Hills CDP, Oregon",11533,427,8395,208,2263,41,53988,2013
3,"Tigard city, Oregon",49024,6212,40361,868,2930,41,73650,2013
4,"Damascus city, Oregon",10626,375,9680,38,410,41,17800,2013
5,"La Pine city, Oregon",1640,147,1513,0,8,41,41050,2013
6,"The Dalles city, Oregon",14730,2294,13318,47,63,41,72950,2013
7,"Silver Lake CDP, Oregon",29,0,29,0,0,41,67600,2013
8,"Stafford CDP, Oregon",1915,250,1740,0,154,41,69800,2013
9,"Summit CDP, Oregon",77,0,38,0,0,41,70870,2013
10,"Sunriver CDP, Oregon",1255,0,1240,0,0,41,71250,2013
11,"Takilma CDP, Oregon",290,0,275,0,0,41,72400,2013
12,"Tetherow CDP, Oregon",94,16,94,0,0,41,72820,2013
13,"Trail CDP, Oregon",444,98,444,0,0,41,74400,2013
14,"Tumalo CDP, Oregon",287,0,275,0,0,41,75050,2013
15,"Tualatin city, Oregon",26383,5123,22828,523,717,41,74950,2013
16,"Phoenix city, Oregon",4563,583,4114,10,13,41,57500,2013
17,"Rogue River city, Oregon",2114,270,2021,7,32,41,63450,2013
18,"Seaside city, Oregon",6455,619,5895,7,36,41,65950,2013
19,"Lyons city, Oregon",962,50,943,3,0,41,44300,2013
20,"Columbia City city, Oregon",2276,68,2228,0,12,41,14750,2013
21,"Antelope city, Oregon",10,0,10,0,0,41,02250,2013
22,"Shaniko city, Oregon",7,0,7,0,0,41,66700,2013
23,"Metolius city, Oregon",812,258,640,6,1,41,47750,2013
24,"Rowena CDP, Oregon",153,5,145,0,0,41,63950,2013
25,"Yoncalla city, Oregon",1114,56,1032,0,0,41,84600,2013
26,"Altamont CDP, Oregon",19355,1951,16998,167,169,41,01850,2013
27,"Summerville town, Oregon",100,0,100,0,0,41,70850,2013
28,"Ione city, Oregon",324,19,289,0,0,41,36400,2013
29,"Scappoose city, Oregon",6716,409,6177,0,153,41,65500,2013
30,"Millersburg city, Oregon",1787,293,1571,0,10,41,48300,2013
31,"Dayville town, Oregon",175,0,163,0,0,41,18300,2013
32,"Boardman city, Oregon",3271,2228,2773,0,0,41,07200,2013
33,"Condon city, Oregon",538,7,527,7,0,41,15000,2013
34,"Salem city, Oregon",156937,31512,126855,2192,4333,41,64900,2013
35,"Mount Angel city, Oregon",3364,918,2878,15,39,41,50150,2013
36,"Rivergrove city, Oregon",283,13,236,0,22,41,62250,2013
37,"Independence city, Oregon",8608,3219,7039,55,101,41,36150,2013
38,"Gearhart city, Oregon",1513,37,1469,12,14,41,28450,2013
39,"Prairie City city, Oregon",1142,18,1084,11,0,41,59650,2013
40,"McMinnville city, Oregon",32536,6857,26505,472,612,41,45000,2013
41,"Madras city, Oregon",6263,2114,3850,21,100,41,45250,2013
42,"Coburg city, Oregon",1008,16,891,26,25,41,14400,2013
43,"Brownsville city, Oregon",1605,66,1534,20,3,41,09050,2013
44,"Stayton city, Oregon",7690,1648,6829,45,20,41,70200,2013
45,"Aurora city, Oregon",895,69,832,23,0,41,03300,2013
46,"Bunker Hill CDP, Oregon",1232,18,1070,0,38,41,09600,2013
47,"Powers city, Oregon",925,56,785,0,12,41,59600,2013
48,"Lowell city, Oregon",961,7,917,0,5,41,44050,2013
49,"Springfield city, Oregon",59692,7353,52618,405,976,41,69600,2013
50,"Sodaville city, Oregon",443,7,396,0,2,41,68550,2013
51,"Waterloo town, Oregon",238,41,233,0,0,41,79050,2013
52,"Wallowa city, Oregon",877,10,828,0,0,41,78150,2013
53,"Mosier city, Oregon",559,100,494,3,2,41,50050,2013
54,"Wamic CDP, Oregon",22,0,22,0,0,41,78300,2013
55,"Lafayette city, Oregon",3733,913,3411,0,0,41,40300,2013
56,"Yamhill city, Oregon",1201,24,1174,0,18,41,84250,2013
57,"Adair Village city, Oregon",906,23,824,11,13,41,00275,2013
58,"Corvallis city, Oregon",54691,4124,46884,633,4336,41,15800,2013
59,"Glide CDP, Oregon",2083,171,1767,27,0,41,29750,2013
60,"Elkton city, Oregon",221,4,206,0,0,41,22800,2013
61,"Willamina city, Oregon",1677,19,1516,0,0,41,82350,2013
62,"Gladstone city, Oregon",11602,871,10291,251,324,41,29000,2013
63,"Canyonville city, Oregon",2175,86,1852,0,89,41,11000,2013
64,"Hebo CDP, Oregon",377,17,340,0,0,41,33100,2013
65,"Adams city, Oregon",383,13,359,0,1,41,00350,2013
66,"Warm Springs CDP, Oregon",3175,349,273,14,10,41,78600,2013
67,"Stanfield city, Oregon",2001,622,1556,0,6,41,69900,2013
68,"Sheridan city, Oregon",6074,893,5051,281,44,41,67050,2013
69,"Cove city, Oregon",516,0,466,0,12,41,16250,2013
70,"Monroe city, Oregon",688,76,591,0,0,41,49600,2013
71,"Culver city, Oregon",1975,811,1283,18,2,41,17300,2013
72,"Greenhorn city, Oregon",0,0,0,0,0,41,31050,2013
73,"John Day city, Oregon",1841,49,1752,9,4,41,37550,2013
74,"Long Creek city, Oregon",193,0,183,0,0,41,43550,2013
75,"Cottage Grove city, Oregon",9734,732,8736,19,53,41,15950,2013
76,"Creswell city, Oregon",5024,305,4629,0,50,41,16950,2013
77,"Junction City city, Oregon",5505,502,5098,13,56,41,38000,2013
78,"Westfir city, Oregon",283,5,275,0,0,41,79950,2013
79,"Halsey city, Oregon",1100,109,1025,0,0,41,31750,2013
80,"Aumsville city, Oregon",3674,359,3406,0,29,41,03250,2013
81,"Brooks CDP, Oregon",833,137,670,0,0,41,08750,2013
82,"Detroit city, Oregon",145,15,131,0,0,41,19100,2013
83,"Marion CDP, Oregon",312,0,302,0,10,41,45900,2013
84,"Richland city, Oregon",116,0,107,0,0,41,61700,2013
85,"Unity city, Oregon",41,0,41,0,0,41,76250,2013
86,"Gold Hill city, Oregon",1059,31,1012,2,7,41,29950,2013
87,"Wasco city, Oregon",471,25,452,0,0,41,78950,2013
88,"Tangent city, Oregon",1147,113,1060,10,0,41,72600,2013
89,"Forest Grove city, Oregon",21593,4766,18257,156,248,41,26200,2013
90,"Hayesville CDP, Oregon",18747,7927,12225,212,861,41,32850,2013
91,"Parkdale CDP, Oregon",463,231,463,0,0,41,56500,2013
92,"Medford city, Oregon",75902,10389,68776,629,995,41,47000,2013
93,"Imbler city, Oregon",249,6,229,0,0,41,36050,2013
94,"Tygh Valley CDP, Oregon",142,0,135,3,0,41,75500,2013
95,"Amity city, Oregon",1584,230,1308,13,11,41,02000,2013
96,"Klamath Falls city, Oregon",21026,2811,17864,218,427,41,39700,2013
97,"Port Orford city, Oregon",1229,52,1199,0,4,41,59250,2013
98,"Nyssa city, Oregon",3231,1836,2584,42,20,41,53750,2013
99,"Mount Vernon city, Oregon",787,10,763,0,0,41,50250,2013
100,"North Powder city, Oregon",478,26,428,0,4,41,53300,2013
101,"Winston city, Oregon",5359,219,5021,0,80,41,83400,2013
102,"Clatskanie city, Oregon",1756,163,1571,0,0,41,13750,2013
103,"Depoe Bay city, Oregon",1384,78,1345,0,0,41,18850,2013
104,"Prineville city, Oregon",9241,933,8637,3,38,41,59850,2013
105,"Irrigon city, Oregon",2081,798,1875,4,16,41,36500,2013
106,"Cape Meares CDP, Oregon",136,0,136,0,0,41,11050,2013
107,"Netarts CDP, Oregon",963,110,904,0,17,41,52050,2013
108,"Pine Grove CDP, Oregon",78,0,78,0,0,41,57850,2013
109,"Lebanon city, Oregon",15641,624,14164,123,180,41,41650,2013
110,"Joseph city, Oregon",953,62,842,10,0,41,37900,2013
111,"Chenoweth CDP, Oregon",1744,245,1686,31,20,41,12800,2013
112,"Philomath city, Oregon",4581,592,4249,39,107,41,57450,2013
113,"Lakeview town, Oregon",2644,97,2516,24,27,41,40700,2013
114,"Paisley city, Oregon",313,1,271,17,4,41,56250,2013
115,"La Grande city, Oregon",13114,430,12232,126,127,41,40350,2013
116,"Canyon City town, Oregon",578,42,546,2,0,41,10950,2013
117,"Granite city, Oregon",24,0,23,0,0,41,30500,2013
118,"Monument city, Oregon",109,0,103,2,0,41,49750,2013
119,"Umapine CDP, Oregon",246,59,246,0,0,41,75600,2013
120,"Wallowa Lake CDP, Oregon",86,0,86,0,0,41,78160,2013
121,"Warren CDP, Oregon",1853,16,1785,0,9,41,78800,2013
122,"Westport CDP, Oregon",406,12,394,0,0,41,80400,2013
123,"West Scio CDP, Oregon",107,22,47,0,60,41,80750,2013
124,"Williams CDP, Oregon",1152,106,1086,0,0,41,82450,2013
125,"Wimer CDP, Oregon",630,15,629,0,0,41,82850,2013
126,"Days Creek CDP, Oregon",291,53,284,0,0,41,18150,2013
127,"Deer Island CDP, Oregon",363,0,342,0,0,41,18450,2013
128,"Dillard CDP, Oregon",369,0,369,0,0,41,19600,2013
129,"Eagle Crest CDP, Oregon",1714,56,1649,0,0,41,21450,2013
130,"Fair Oaks CDP, Oregon",419,0,419,0,0,41,24100,2013
131,"Foots Creek CDP, Oregon",817,0,740,0,0,41,26165,2013
132,"Fort Hill CDP, Oregon",142,1,140,0,0,41,26400,2013
133,"Gardiner CDP, Oregon",202,0,182,0,0,41,27850,2013
134,"Glasgow CDP, Oregon",829,16,606,0,37,41,29100,2013
135,"Government Camp CDP, Oregon",139,0,139,0,0,41,30250,2013
136,"Harper CDP, Oregon",83,0,81,0,1,41,32400,2013
137,"Holley CDP, Oregon",409,0,398,0,11,41,34650,2013
138,"Idaville CDP, Oregon",466,61,385,0,0,41,35850,2013
139,"Juntura CDP, Oregon",29,0,26,0,0,41,38150,2013
140,"Kerby CDP, Oregon",189,0,189,0,0,41,38900,2013
141,"Kings Valley CDP, Oregon",0,0,0,0,0,41,39350,2013
142,"Lacomb CDP, Oregon",230,15,222,0,0,41,40150,2013
143,"Langlois CDP, Oregon",226,21,226,0,0,41,40950,2013
144,"Lookingglass CDP, Oregon",1121,0,1121,0,0,41,43650,2013
145,"Melrose CDP, Oregon",775,10,751,0,13,41,47350,2013
146,"Merlin CDP, Oregon",1490,45,1253,0,0,41,47650,2013
147,"Mount Hood CDP, Oregon",212,11,212,0,0,41,50200,2013
148,"Mulino CDP, Oregon",2175,72,2089,0,18,41,50450,2013
149,"Nesika Beach CDP, Oregon",415,57,415,0,0,41,51950,2013
150,"New Hope CDP, Oregon",1490,20,1455,0,0,41,52275,2013
151,"New Pine Creek CDP, Oregon",286,0,263,0,0,41,52400,2013
152,"O'Brien CDP, Oregon",138,0,138,0,0,41,54350,2013
153,"Peoria CDP, Oregon",111,0,111,0,0,41,57300,2013
154,"Pistol River CDP, Oregon",25,0,25,0,0,41,58050,2013
155,"Plush CDP, Oregon",56,0,56,0,0,41,58550,2013
156,"Pronghorn CDP, Oregon",10,0,10,0,0,41,60070,2013
157,"Prospect CDP, Oregon",481,5,413,0,0,41,60100,2013
158,"Ruch CDP, Oregon",978,12,966,0,0,41,64150,2013
159,"Selma CDP, Oregon",558,116,503,0,16,41,66150,2013
160,"Seventh Mountain CDP, Oregon",217,0,217,0,0,41,66385,2013
161,"Shedd CDP, Oregon",522,28,480,0,0,41,66900,2013
162,"Myrtle Creek city, Oregon",3433,355,3035,0,0,41,50950,2013
163,"Sutherlin city, Oregon",7766,312,7358,58,12,41,71650,2013
164,"Winchester Bay CDP, Oregon",295,2,294,0,0,41,83050,2013
165,"Heppner city, Oregon",1370,18,1315,0,16,41,33550,2013
166,"Garibaldi city, Oregon",736,20,705,16,0,41,28000,2013
167,"Barview CDP, Oregon",1667,42,1567,3,27,41,04400,2013
168,"Coos Bay city, Oregon",15982,1707,13807,501,318,41,15250,2013
169,"Harrisburg city, Oregon",3598,254,3410,0,0,41,32550,2013
170,"Scio city, Oregon",767,4,752,13,0,41,65650,2013
171,"Sweet Home city, Oregon",9000,159,8706,13,36,41,71950,2013
172,"Gold Beach city, Oregon",2433,55,2246,0,60,41,29900,2013
173,"Warrenton city, Oregon",5057,253,4672,21,43,41,78900,2013
174,"Troutdale city, Oregon",16188,1143,14110,461,970,41,74850,2013
175,"Umatilla city, Oregon",6927,2534,5873,126,44,41,75650,2013
176,"Redmond city, Oregon",26583,3184,24426,124,251,41,61200,2013
177,"Three Rivers CDP, Oregon",3284,35,3100,13,0,41,73225,2013
178,"Gates city, Oregon",652,11,627,0,3,41,28200,2013
179,"Labish Village CDP, Oregon",167,117,122,0,0,41,40050,2013
180,"Scotts Mills city, Oregon",407,40,359,0,0,41,65800,2013
181,"King City city, Oregon",3238,19,3096,0,104,41,39150,2013
182,"Grand Ronde CDP, Oregon",1544,156,899,0,4,41,30300,2013
183,"Metzger CDP, Oregon",3552,320,2807,143,193,41,47800,2013
184,"West Slope CDP, Oregon",6852,380,5718,110,285,41,80900,2013
185,"Falls City city, Oregon",1015,24,916,0,0,41,24550,2013
186,"Central Point city, Oregon",17271,1608,16147,51,42,41,12400,2013
187,"Cascade Locks city, Oregon",1033,20,897,45,7,41,11600,2013
188,"Milwaukie city, Oregon",20385,987,17701,622,746,41,48650,2013
189,"Biggs Junction CDP, Oregon",22,0,22,0,0,41,06400,2013
190,"Estacada city, Oregon",2803,343,2580,50,39,41,23800,2013
191,"Mount Hood Village CDP, Oregon",4775,141,4634,0,11,41,50235,2013
192,"Oregon City city, Oregon",33115,2532,30353,170,631,41,55200,2013
193,"Ashland city, Oregon",20355,720,18499,427,410,41,03050,2013
194,"Redwood CDP, Oregon",3306,90,3213,0,45,41,61250,2013
195,"Baker City city, Oregon",9774,366,9200,25,73,41,03650,2013
196,"Sumpter city, Oregon",140,0,137,0,0,41,71000,2013
197,"Grass Valley city, Oregon",138,8,133,2,2,41,30650,2013
198,"Rickreall CDP, Oregon",0,0,0,0,0,41,61800,2013
199,"Oceanside CDP, Oregon",264,21,244,0,0,41,54450,2013
200,"Drain city, Oregon",1102,49,1053,0,19,41,20500,2013
201,"Spray town, Oregon",120,7,117,0,1,41,69450,2013
202,"Hines city, Oregon",1495,127,1419,11,0,41,34250,2013
203,"Beaverton city, Oregon",91383,14553,66591,2069,10895,41,05350,2013
204,"Nehalem city, Oregon",270,1,267,0,1,41,51700,2013
205,"Wheeler city, Oregon",366,13,352,13,0,41,81300,2013
206,"Athena city, Oregon",959,36,940,8,1,41,03200,2013
207,"Gopher Flats CDP, Oregon",363,15,307,0,0,41,30165,2013
208,"Helix city, Oregon",226,5,207,0,0,41,33250,2013
209,"Hermiston city, Oregon",16866,5508,15224,24,189,41,33700,2013
210,"Burns city, Oregon",2774,89,2595,18,8,41,09800,2013
211,"Hood River city, Oregon",7214,1910,6410,5,200,41,34900,2013
212,"Odell CDP, Oregon",2311,1393,2001,18,29,41,54550,2013
213,"Durham city, Oregon",1204,119,1035,31,27,41,21250,2013
214,"Lake Oswego city, Oregon",37037,1510,33175,176,2410,41,40550,2013
215,"Bend city, Oregon",78128,6665,72450,374,1283,41,05800,2013
216,"Lincoln Beach CDP, Oregon",2065,401,1540,0,23,41,42550,2013
217,"Newport city, Oregon",10013,1113,8664,59,122,41,52450,2013
218,"Dunes City city, Oregon",1337,9,1237,14,6,41,21150,2013
219,"Veneta city, Oregon",4580,285,4250,9,110,41,77050,2013
220,"South Lebanon CDP, Oregon",1278,17,1278,0,0,41,68875,2013
221,"Brookings city, Oregon",6334,412,5630,27,2,41,08650,2013
222,"Harbor CDP, Oregon",1992,9,1864,1,0,41,32100,2013
223,"Adrian city, Oregon",109,5,105,0,3,41,00500,2013
224,"Merrill city, Oregon",882,404,803,0,0,41,47700,2013
225,"Pine Hollow CDP, Oregon",410,29,391,0,8,41,57875,2013
226,"Carlton city, Oregon",2117,161,1975,0,8,41,11150,2013
227,"Lexington town, Oregon",248,4,245,0,0,41,42200,2013
228,"Green CDP, Oregon",7795,510,7536,0,14,41,30750,2013
229,"Reedsport city, Oregon",4130,434,3649,0,82,41,61300,2013
230,"Manzanita city, Oregon",421,39,386,0,28,41,45700,2013
231,"Pacific City CDP, Oregon",809,0,795,0,0,41,56150,2013
232,"Rockaway Beach city, Oregon",1130,5,1093,2,0,41,62900,2013
233,"Tillamook city, Oregon",4949,632,4366,1,19,41,73700,2013
234,"Echo city, Oregon",728,136,688,0,0,41,22200,2013
235,"Dayton city, Oregon",2536,976,1873,55,32,41,18250,2013
236,"Jordan Valley city, Oregon",158,7,158,0,0,41,37850,2013
237,"Vale city, Oregon",1593,341,1457,12,7,41,76600,2013
238,"Lostine city, Oregon",298,16,277,0,2,41,43900,2013
239,"Lincoln City city, Oregon",7968,1020,6873,10,201,41,42600,2013
240,"Cayuse CDP, Oregon",58,0,41,0,0,41,11900,2013
241,"St. Helens city, Oregon",12985,849,11437,19,163,41,64600,2013
242,"Vernonia city, Oregon",2110,75,2068,0,0,41,77250,2013
243,"Bonanza town, Oregon",449,62,382,0,3,41,07300,2013
244,"Coquille city, Oregon",3851,208,3557,0,0,41,15350,2013
245,"Roseburg city, Oregon",21746,1043,20050,130,256,41,63650,2013
246,"Beaver CDP, Oregon",229,0,229,0,0,41,05200,2013
247,"Neskowin CDP, Oregon",94,0,94,0,0,41,52000,2013
248,"Mission CDP, Oregon",992,56,184,0,3,41,49000,2013
249,"Mitchell city, Oregon",116,0,113,0,0,41,49150,2013
250,"Molalla city, Oregon",8152,855,7691,300,12,41,49450,2013
251,"Oak Grove CDP, Oregon",17142,1766,15233,272,145,41,53900,2013
252,"West Linn city, Oregon",25462,1125,23072,103,1173,41,80150,2013
253,"Alpine CDP, Oregon",140,0,128,0,0,41,01700,2013
254,"Alsea CDP, Oregon",150,9,146,0,4,41,01800,2013
255,"Bayside Gardens CDP, Oregon",843,0,709,35,75,41,04925,2013
256,"Beavercreek CDP, Oregon",3951,25,3715,2,0,41,05250,2013
257,"Annex CDP, Oregon",296,80,272,0,3,41,02200,2013
258,"Bellfountain CDP, Oregon",103,0,103,0,0,41,05700,2013
259,"Bethany CDP, Oregon",21457,1384,12585,140,7064,41,05950,2013
260,"Black Butte Ranch CDP, Oregon",213,0,213,0,0,41,06650,2013
261,"Blodgett CDP, Oregon",0,0,0,0,0,41,06950,2013
262,"Brogan CDP, Oregon",127,0,127,0,0,41,08600,2013
263,"Bull Mountain CDP, Oregon",8984,426,7094,30,1044,41,09535,2013
264,"Camp Sherman CDP, Oregon",339,0,315,0,6,41,10550,2013
265,"Cascadia CDP, Oregon",26,0,26,0,0,41,11700,2013
266,"Crabtree CDP, Oregon",374,72,325,0,0,41,16350,2013
267,"Crane CDP, Oregon",210,0,210,0,0,41,16450,2013
268,"Crawfordsville CDP, Oregon",281,0,276,0,0,41,16650,2013
269,"Moro city, Oregon",349,8,337,0,0,41,50000,2013
270,"Huntington city, Oregon",470,13,460,0,0,41,35700,2013
271,"Jacksonville city, Oregon",2795,0,2611,22,117,41,37000,2013
272,"Shady Cove city, Oregon",2910,253,2758,0,0,41,66550,2013
273,"White City CDP, Oregon",8297,2883,7187,19,19,41,81450,2013
274,"Astoria city, Oregon",9518,1161,8318,95,245,41,03150,2013
275,"Cannon Beach city, Oregon",1553,170,1279,59,39,41,10850,2013
276,"Fairview city, Oregon",9003,1597,7093,524,502,41,24250,2013
277,"Maywood Park city, Oregon",939,10,779,115,11,41,46730,2013
278,"Rufus city, Oregon",225,43,182,0,0,41,64200,2013
279,"Grants Pass city, Oregon",34672,3218,32215,121,298,41,30550,2013
280,"Portland city, Oregon",594687,56058,460202,37225,44552,41,59000,2013
281,"Raleigh Hills CDP, Oregon",6452,127,5117,393,698,41,60900,2013
282,"Terrebonne CDP, Oregon",1416,0,1416,0,0,41,72800,2013
283,"Four Corners CDP, Oregon",17260,6677,12517,284,104,41,26750,2013
284,"Hubbard city, Oregon",3178,1263,2280,0,5,41,35450,2013
285,"Jefferson city, Oregon",3122,450,2497,0,53,41,37250,2013
286,"Mill City city, Oregon",1452,146,1316,0,6,41,48150,2013
287,"Butte Falls town, Oregon",415,2,381,0,0,41,10050,2013
288,"Arlington city, Oregon",658,62,622,3,0,41,02800,2013
289,"Rockcreek CDP, Oregon",9141,628,7010,371,1012,41,63010,2013
290,"West Haven-Sylvan CDP, Oregon",7688,344,6619,69,610,41,80025,2013
291,"Halfway city, Oregon",392,8,358,0,0,41,31650,2013
292,"Lonerock city, Oregon",19,0,19,0,0,41,43400,2013
293,"Sisters city, Oregon",2262,210,2119,0,21,41,67950,2013
294,"Idanha city, Oregon",146,8,142,0,0,41,35800,2013
295,"Keizer city, Oregon",36681,7170,31703,294,643,41,38500,2013
296,"Eola CDP, Oregon",31,0,31,0,0,41,23550,2013
297,"Sandy city, Oregon",9737,643,9174,7,110,41,65250,2013
298,"Deschutes River Woods CDP, Oregon",5235,399,4912,0,27,41,19020,2013
299,"Donald city, Oregon",950,155,826,13,0,41,20100,2013
300,"Mehama CDP, Oregon",166,0,136,0,0,41,47300,2013
301,"Sublimity city, Oregon",2711,81,2630,0,31,41,70700,2013
302,"Woodburn city, Oregon",24101,13952,16700,150,211,41,83750,2013
303,"Gaston city, Oregon",636,0,594,0,10,41,28100,2013
304,"Hillsboro city, Oregon",93880,22903,67800,1363,8310,41,34100,2013
305,"Sherwood city, Oregon",18441,1107,16452,31,821,41,67100,2013
306,"Wilsonville city, Oregon",19636,2807,16694,230,769,41,82800,2013
307,"Gresham city, Oregon",107196,20614,85898,3821,4111,41,31250,2013
308,"Dallas city, Oregon",14689,618,13680,17,102,41,17700,2013
309,"Monmouth city, Oregon",9687,1468,8201,61,299,41,49550,2013
310,"Wood Village city, Oregon",3899,1348,2916,64,143,41,83950,2013
311,"Haines city, Oregon",401,30,388,0,0,41,31600,2013
312,"Eagle Point city, Oregon",8520,236,7838,0,96,41,21550,2013
313,"Talent city, Oregon",6123,319,5569,94,76,41,72500,2013
314,"Barlow city, Oregon",133,41,120,0,0,41,04000,2013
315,"Jeffers Gardens CDP, Oregon",479,0,479,0,0,41,37202,2013
316,"Fruitdale CDP, Oregon",1035,118,958,10,0,41,27350,2013
317,"Butteville CDP, Oregon",136,16,136,0,0,41,10100,2013
318,"Gervais city, Oregon",2505,1626,1863,2,7,41,28650,2013
319,"St. Paul city, Oregon",401,82,352,0,5,41,64850,2013
320,"Turner city, Oregon",2279,169,2105,0,14,41,75150,2013
321,"Banks city, Oregon",1661,152,1530,3,22,41,03850,2013
322,"Cedar Hills CDP, Oregon",9283,1170,7513,231,434,41,12050,2013
323,"Garden Home-Whitford CDP, Oregon",6240,466,5721,63,74,41,27825,2013
324,"Cave Junction city, Oregon",1991,116,1812,92,22,41,11850,2013
325,"Kirkpatrick CDP, Oregon",204,13,89,0,4,41,39566,2013
326,"Pendleton city, Oregon",16801,1362,15012,243,185,41,57150,2013
327,"Riverside CDP, Oregon",157,12,141,0,6,41,62412,2013
328,"Tutuilla CDP, Oregon",504,16,320,0,0,41,75185,2013
329,"Ukiah city, Oregon",144,8,130,0,4,41,75550,2013
330,"Fossil city, Oregon",369,4,341,0,0,41,26650,2013
331,"Aloha CDP, Oregon",51462,11300,36657,1529,4805,41,01650,2013
332,"Cedar Mill CDP, Oregon",15380,633,12317,166,2024,41,12150,2013
333,"Cornelius city, Oregon",11991,5892,8590,47,226,41,15550,2013
334,"North Plains city, Oregon",2056,206,1810,0,7,41,53150,2013
335,"Roseburg North CDP, Oregon",6143,288,5708,0,20,41,63660,2013
336,"Glendale city, Oregon",808,58,735,0,0,41,29350,2013
337,"Beatty CDP, Oregon",54,0,16,0,0,41,05150,2013
338,"Neahkahnie CDP, Oregon",126,0,126,0,0,41,51450,2013
339,"Cloverdale CDP, Oregon",99,0,99,0,0,41,14200,2013
340,"Happy Valley city, Oregon",14931,852,10893,146,2651,41,32050,2013
341,"Jennings Lodge CDP, Oregon",7698,1042,6650,91,438,41,37400,2013
342,"Bay City city, Oregon",1371,90,1309,0,27,41,04800,2013
343,"Malin city, Oregon",664,467,537,0,0,41,45400,2013
344,"Florence city, Oregon",8463,237,7984,50,70,41,26050,2013
345,"Ontario city, Oregon",11227,4416,8557,96,317,41,54900,2013
346,"Prescott city, Oregon",53,3,53,0,0,41,59750,2013
347,"Siletz city, Oregon",1375,28,1025,29,2,41,67500,2013
348,"Enterprise city, Oregon",2019,74,1967,16,6,41,23500,2013
349,"Maupin city, Oregon",436,2,411,1,0,41,46500,2013
350,"Dundee city, Oregon",3161,274,2807,0,29,41,21050,2013
351,"Island City city, Oregon",1022,13,999,0,4,41,36750,2013
352,"Union city, Oregon",2059,24,1929,6,12,41,75850,2013
353,"Oakland city, Oregon",861,10,852,0,0,41,54000,2013
354,"Riddle city, Oregon",887,28,769,0,0,41,61850,2013
355,"Tri-City CDP, Oregon",3910,401,3370,0,41,41,74650,2013
356,"Milton-Freewater city, Oregon",7066,3770,5792,20,80,41,48600,2013
357,"Pilot Rock city, Oregon",1558,34,1385,0,2,41,57650,2013
358,"Weston city, Oregon",635,32,575,0,25,41,80350,2013
359,"Johnson City city, Oregon",512,119,470,5,20,41,37650,2013
360,"Toledo city, Oregon",3465,242,3108,0,0,41,74000,2013
361,"Waldport city, Oregon",1996,84,1813,9,47,41,78000,2013
362,"Yachats city, Oregon",759,62,651,7,0,41,84200,2013
363,"Bandon city, Oregon",3058,74,2856,41,49,41,03800,2013
364,"Oakridge city, Oregon",3210,0,3155,0,0,41,54100,2013
365,"Dufur city, Oregon",497,2,487,0,0,41,20900,2013
366,"Newberg city, Oregon",22291,3221,19403,145,363,41,52100,2013
367,"Chiloquin city, Oregon",696,17,169,9,0,41,13050,2013
368,"Elgin city, Oregon",1635,45,1442,0,58,41,22550,2013
369,"Seneca city, Oregon",131,9,129,0,0,41,66200,2013
370,"Canby city, Oregon",16561,4020,14801,0,341,41,10750,2013
371,"Lakeside city, Oregon",1643,57,1563,3,7,41,40650,2013
372,"Myrtle Point city, Oregon",2454,216,2231,0,17,41,51050,2013
373,"North Bend city, Oregon",9623,416,8365,29,139,41,53000,2013
374,"Eugene city, Oregon",157318,12136,135523,2487,6455,41,23850,2013
375,"Albany city, Oregon",50828,6439,45228,329,840,41,01000,2013
376,"Rainier city, Oregon",1830,43,1593,66,16,41,60850,2013
377,"Rose Lodge CDP, Oregon",1912,13,1846,0,27,41,63800,2013
378,"Athena city, Oregon",1053,3,955,6,1,41,03200,2014
379,"Beaverton city, Oregon",92593,14661,67537,2299,11360,41,05350,2014
380,"Nehalem city, Oregon",263,2,260,0,2,41,51700,2014
381,"Wheeler city, Oregon",349,19,349,0,0,41,81300,2014
382,"Gopher Flats CDP, Oregon",364,13,322,0,0,41,30165,2014
383,"Helix city, Oregon",196,2,184,0,0,41,33250,2014
384,"Merlin CDP, Oregon",1594,3,1396,0,25,41,47650,2014
385,"Mount Hood CDP, Oregon",262,10,262,0,0,41,50200,2014
386,"Mulino CDP, Oregon",2314,48,2173,0,17,41,50450,2014
387,"Nesika Beach CDP, Oregon",404,57,404,0,0,41,51950,2014
388,"New Hope CDP, Oregon",1443,19,1438,0,0,41,52275,2014
389,"New Pine Creek CDP, Oregon",108,0,75,0,0,41,52400,2014
390,"O'Brien CDP, Oregon",112,0,112,0,0,41,54350,2014
391,"Peoria CDP, Oregon",84,0,84,0,0,41,57300,2014
392,"Pistol River CDP, Oregon",26,0,26,0,0,41,58050,2014
393,"Plush CDP, Oregon",43,0,41,0,0,41,58550,2014
394,"Pronghorn CDP, Oregon",19,0,19,0,0,41,60070,2014
395,"Prospect CDP, Oregon",468,17,389,0,0,41,60100,2014
396,"Ruch CDP, Oregon",847,45,818,0,0,41,64150,2014
397,"Selma CDP, Oregon",653,109,558,1,13,41,66150,2014
398,"Seventh Mountain CDP, Oregon",238,0,238,0,0,41,66385,2014
399,"Shedd CDP, Oregon",280,28,237,0,0,41,66900,2014
400,"Myrtle Creek city, Oregon",3413,376,3026,0,0,41,50950,2014
