,GEOIDFQ,median_household_income,owner_occupied_units,renter_occupied_units,state,county,TRACTCE,year
106,1400000US48029140100,68705,1164,294,48,029,140100,2023
107,1400000US48029140200,43024,1356,686,48,029,140200,2023
108,1400000US48029140300,40806,1705,1303,48,029,140300,2023
109,1400000US48029140400,69375,2847,943,48,029,140400,2023
110,1400000US48029140500,57072,2055,1258,48,029,140500,2023
111,1400000US48029140600,64107,1796,1039,48,029,140600,2023
112,1400000US48029140700,47614,3653,1270,48,029,140700,2023
113,1400000US48029140800,56250,3579,1933,48,029,140800,2023
114,1400000US48029140900,43113,1209,514,48,029,140900,2023
115,1400000US48029141000,36735,1300,2435,48,029,141000,2023
116,1400000US48029141101,29580,1463,2010,48,029,141101,2023
117,1400000US48029141102,26662,1533,2673,48,029,141102,2023
118,1400000US48029141200,49220,3803,3501,48,029,141200,2023
119,1400000US48029141300,46415,3065,3146,48,029,141300,2023
120,1400000US48029141402,84565,5823,489,48,029,141402,2023
121,1400000US48029141403,44085,2451,1994,48,029,141403,2023
122,1400000US48029141404,41560,3223,1235,48,029,141404,2023
123,1400000US48029141600,81528,4933,64,48,029,141600,2023
124,1400000US48029141700,76964,4230,2601,48,029,141700,2023
125,1400000US48029141800,64412,3923,512,48,029,141800,2023
126,1400000US48029141900,68636,4951,836,48,029,141900,2023
127,1400000US48029150100,70377,2405,2289,48,029,150100,2023
128,1400000US48029150300,39661,1988,1223,48,029,150300,2023
129,1400000US48029150400,39938,2344,1492,48,029,150400,2023
130,1400000US48029150501,50625,2846,1356,48,029,150501,2023
131,1400000US48029150502,55675,2125,1246,48,029,150502,2023
132,1400000US48029150600,53438,2960,1228,48,029,150600,2023
133,1400000US48029150700,37393,3394,1567,48,029,150700,2023
134,1400000US48029150800,22089,307,2376,48,029,150800,2023
135,1400000US48029150900,41563,5131,1880,48,029,150900,2023
136,1400000US48029151000,41354,1410,1920,48,029,151000,2023
137,1400000US48029151100,61667,4028,2519,48,029,151100,2023
138,1400000US48029151200,57708,4442,7008,48,029,151200,2023
139,1400000US48029151301,52857,3485,1886,48,029,151301,2023
140,1400000US48029151302,54583,2223,1365,48,029,151302,2023
141,1400000US48029151400,72917,2718,1565,48,029,151400,2023
142,1400000US48029151500,45846,1716,468,48,029,151500,2023
143,1400000US48029151600,64727,6230,2026,48,029,151600,2023
144,1400000US48029151700,70202,6854,1119,48,029,151700,2023
145,1400000US48029151900,71906,5137,3422,48,029,151900,2023
146,1400000US48029152000,71339,1390,914,48,029,152000,2023
147,1400000US48029152100,64279,5399,547,48,029,152100,2023
148,1400000US48029152201,48364,6200,1424,48,029,152201,2023
149,1400000US48029152202,52944,5848,687,48,029,152202,2023
150,1400000US48029160100,26861,3643,3521,48,029,160100,2023
151,1400000US48029160200,37402,1939,878,48,029,160200,2023
152,1400000US48029160300,61613,3768,2027,48,029,160300,2023
153,1400000US48029160400,42939,3674,1144,48,029,160400,2023
154,1400000US48029160501,19037,1370,3309,48,029,160501,2023
155,1400000US48029160502,47371,2886,1078,48,029,160502,2023
156,1400000US48029160600,41534,2845,1643,48,029,160600,2023
157,1400000US48029160701,55116,2837,1101,48,029,160701,2023
158,1400000US48029160702,29921,2065,2618,48,029,160702,2023
159,1400000US48029160901,39355,1941,858,48,029,160901,2023
160,1400000US48029160902,48684,2277,1647,48,029,160902,2023
161,1400000US48029161000,34875,1519,2181,48,029,161000,2023
162,1400000US48029161100,61662,6677,1825,48,029,161100,2023
163,1400000US48029161200,57750,3252,807,48,029,161200,2023
164,1400000US48029161302,51267,3074,2530,48,029,161302,2023
165,1400000US48029161303,44738,2876,1483,48,029,161303,2023
166,1400000US48029161304,33413,2324,2118,48,029,161304,2023
167,1400000US48029161400,96771,64,1822,48,029,161400,2023
168,1400000US48029161501,43306,2970,4470,48,029,161501,2023
169,1400000US48029161503,49442,4015,1680,48,029,161503,2023
170,1400000US48029161504,66443,2947,2820,48,029,161504,2023
171,1400000US48029161600,40721,2569,2132,48,029,161600,2023
172,1400000US48029161801,61449,2421,1091,48,029,161801,2023
173,1400000US48029161802,53325,6741,3898,48,029,161802,2023
174,1400000US48029161901,88750,728,235,48,029,161901,2023
175,1400000US48029161902,78728,13769,2054,48,029,161902,2023
176,1400000US48029162001,60078,1626,536,48,029,162001,2023
177,1400000US48029162003,65714,4895,919,48,029,162003,2023
178,1400000US48029162004,62971,3101,428,48,029,162004,2023
179,1400000US48029170101,37288,2174,1351,48,029,170101,2023
180,1400000US48029170102,36313,1624,1545,48,029,170102,2023
181,1400000US48029170200,23850,2145,2466,48,029,170200,2023
182,1400000US48029170300,33947,2761,2322,48,029,170300,2023
183,1400000US48029170401,40532,2034,2385,48,029,170401,2023
184,1400000US48029170402,41875,3223,1243,48,029,170402,2023
185,1400000US48029170500,54628,1909,1200,48,029,170500,2023
186,1400000US48029170600,55956,2595,1018,48,029,170600,2023
187,1400000US48029170700,47500,2314,2116,48,029,170700,2023
188,1400000US48029170800,39516,612,1314,48,029,170800,2023
189,1400000US48029170900,40781,2397,1772,48,029,170900,2023
190,1400000US48029171000,37835,3422,1979,48,029,171000,2023
191,1400000US48029171100,42284,1870,1507,48,029,171100,2023
192,1400000US48029171200,28544,2363,1605,48,029,171200,2023
193,1400000US48029171301,48938,1523,1664,48,029,171301,2023
194,1400000US48029171302,50313,2114,1393,48,029,171302,2023
195,1400000US48029171401,46698,2032,1936,48,029,171401,2023
196,1400000US48029171402,46360,4681,1133,48,029,171402,2023
197,1400000US48029171501,40595,1621,650,48,029,171501,2023
198,1400000US48029171502,35982,2549,1922,48,029,171502,2023
199,1400000US48029171601,36415,2011,1361,48,029,171601,2023
200,1400000US48029171602,43268,1925,3159,48,029,171602,2023
201,1400000US48029171700,52948,5021,3247,48,029,171700,2023
202,1400000US48029171801,49125,3951,1306,48,029,171801,2023
203,1400000US48029171802,39783,3374,2689,48,029,171802,2023
204,1400000US48029171903,57697,2452,2877,48,029,171903,2023
205,1400000US48029171912,89922,5368,1546,48,029,171912,2023
206,1400000US48029171913,66739,2616,1529,48,029,171913,2023
207,1400000US48029171914,83604,4519,868,48,029,171914,2023
208,1400000US48029171915,88702,1181,241,48,029,171915,2023
209,1400000US48029171916,93453,9840,1496,48,029,171916,2023
210,1400000US48029171917,87708,6991,2084,48,029,171917,2023
211,1400000US48029171918,73836,4324,3719,48,029,171918,2023
212,1400000US48029171919,86125,4837,1043,48,029,171919,2023
213,1400000US48029171920,72513,5532,2846,48,029,171920,2023
214,1400000US48029171921,75577,5694,1691,48,029,171921,2023
215,1400000US48029171922,85938,5481,978,48,029,171922,2023
216,1400000US48029171923,84901,6343,3505,48,029,171923,2023
217,1400000US48029171924,78653,2498,4649,48,029,171924,2023
218,1400000US48029171926,46759,0,2849,48,029,171926,2023
219,1400000US48029171927,73708,4901,6575,48,029,171927,2023
220,1400000US48029171928,129962,5795,523,48,029,171928,2023
221,1400000US48029171929,51141,1950,1174,48,029,171929,2023
222,1400000US48029172002,110543,23736,4225,48,029,172002,2023
223,1400000US48029172003,109250,5159,958,48,029,172003,2023
224,1400000US48029172004,110313,11680,717,48,029,172004,2023
225,1400000US48029172005,90949,7160,3390,48,029,172005,2023
226,1400000US48029172006,117159,12531,2348,48,029,172006,2023
227,1400000US48029172008,135514,4752,1405,48,029,172008,2023
228,1400000US48029172009,112719,8922,1727,48,029,172009,2023
229,1400000US48029180101,69695,3200,1824,48,029,180101,2023
230,1400000US48029180102,95905,1396,420,48,029,180102,2023
231,1400000US48029180201,48367,2806,1967,48,029,180201,2023
232,1400000US48029180202,40061,1738,3199,48,029,180202,2023
233,1400000US48029180300,45988,2271,2003,48,029,180300,2023
234,1400000US48029180400,31806,1627,2673,48,029,180400,2023
235,1400000US48029180501,28104,1697,3031,48,029,180501,2023
236,1400000US48029180503,54085,2698,1443,48,029,180503,2023
237,1400000US48029180504,53125,2409,2146,48,029,180504,2023
