,GEOIDFQ,median_household_income,owner_occupied_units,renter_occupied_units,median_home_value,state,county,TRACTCE,year,owner_renter_ratio
63,1400000US48029131000,34276,3394,1601,73300.0,48,029,131000,2012,2.1199250468457214
64,1400000US48029140500,39152,2829,1208,79000.0,48,029,140500,2012,2.341887417218543
65,1400000US48029190700,34601,1196,1564,120400.0,48,029,190700,2012,0.7647058823529411
66,1400000US48029190902,55036,3244,551,109100.0,48,029,190902,2012,5.887477313974592
67,1400000US48029181001,43775,1673,1839,126500.0,48,029,181001,2012,0.9097335508428493
68,1400000US48029181004,31224,446,4128,133000.0,48,029,181004,2012,0.10804263565891473
69,1400000US48029182103,83950,1929,161,303000.0,48,029,182103,2012,11.98136645962733
70,1400000US48029190100,27067,1476,1608,82400.0,48,029,190100,2012,0.917910447761194
71,1400000US48029121116,44375,2828,2116,159200.0,48,029,121116,2012,1.33648393194707
72,1400000US48029121118,71261,3559,2482,201200.0,48,029,121118,2012,1.4339242546333602
73,1400000US48029121203,31806,2398,1520,73900.0,48,029,121203,2012,1.5776315789473685
74,1400000US48029121205,40203,1375,2514,101000.0,48,029,121205,2012,0.5469371519490851
75,1400000US48029121206,54972,5608,2407,112400.0,48,029,121206,2012,2.3298712089738265
76,1400000US48029121402,52023,3932,1409,92500.0,48,029,121402,2012,2.7906316536550744
77,1400000US48029121803,59406,3835,1077,96400.0,48,029,121803,2012,3.560817084493965
78,1400000US48029121804,36493,3356,3336,103200.0,48,029,121804,2012,1.0059952038369304
79,1400000US48029130800,23840,2331,3300,64600.0,48,029,130800,2012,0.7063636363636364
80,1400000US48029131100,27988,1067,1462,61000.0,48,029,131100,2012,0.7298221614227086
81,1400000US48029120300,105339,5759,1280,416200.0,48,029,120300,2012,4.49921875
82,1400000US48029120501,32484,4302,3060,89100.0,48,029,120501,2012,1.4058823529411764
83,1400000US48029121115,79080,4364,932,175600.0,48,029,121115,2012,4.682403433476395
84,1400000US48029121117,57358,2286,2049,166900.0,48,029,121117,2012,1.115666178623719
85,1400000US48029130200,24432,618,1333,60700.0,48,029,130200,2012,0.463615903975994
86,1400000US48029141000,31357,1241,2034,60100.0,48,029,141000,2012,0.6101278269419862
87,1400000US48029151600,43774,5122,2495,83200.0,48,029,151600,2012,2.0529058116232464
88,1400000US48029151700,43467,5036,1480,82500.0,48,029,151700,2012,3.402702702702703
89,1400000US48029160701,32576,2631,511,66700.0,48,029,160701,2012,5.148727984344423
90,1400000US48029171801,30843,3067,1889,82600.0,48,029,171801,2012,1.6236103758602436
91,1400000US48029180201,31618,2445,2109,75100.0,48,029,180201,2012,1.159317211948791
92,1400000US48029181200,74597,4014,629,184300.0,48,029,181200,2012,6.381558028616852
93,1400000US48029181301,52455,1283,2693,167500.0,48,029,181301,2012,0.47642034905310066
94,1400000US48029181402,26707,216,1409,130700.0,48,029,181402,2012,0.1533002129169624
95,1400000US48029131506,42381,2215,984,86800.0,48,029,131506,2012,2.2510162601626016
96,1400000US48029131507,39471,3823,3170,74700.0,48,029,131507,2012,1.205993690851735
97,1400000US48029131608,52478,1833,2938,118200.0,48,029,131608,2012,0.6238938053097345
98,1400000US48029131609,70336,6117,3127,120900.0,48,029,131609,2012,1.956188039654621
99,1400000US48029131610,61316,3667,1988,108800.0,48,029,131610,2012,1.8445674044265594
100,1400000US48029131611,76674,1109,471,115300.0,48,029,131611,2012,2.3545647558386413
101,1400000US48029140600,28412,1516,861,70200.0,48,029,140600,2012,1.7607433217189314
102,1400000US48029140700,34856,2909,1622,78600.0,48,029,140700,2012,1.7934648581997534
103,1400000US48029141300,47539,2981,2295,96900.0,48,029,141300,2012,1.2989106753812636
104,1400000US48029141402,57411,3528,515,123300.0,48,029,141402,2012,6.850485436893204
105,1400000US48029110100,33491,229,1879,360500.0,48,029,110100,2012,0.12187333688131985
106,1400000US48029120902,49787,1785,4871,298400.0,48,029,120902,2012,0.3664545267912133
107,1400000US48029121403,35327,1958,3181,102300.0,48,029,121403,2012,0.6155297076391072
108,1400000US48029121604,63002,4739,2839,122100.0,48,029,121604,2012,1.6692497358224727
