,GEO_ID,B19013_001E,B25008_002E,B25008_003E,B25077_001E,state,county,tract,year
96,1400000US48029131507,39471,3823,3170,74700,48,029,131507,2012
97,1400000US48029131608,52478,1833,2938,118200,48,029,131608,2012
98,1400000US48029131609,70336,6117,3127,120900,48,029,131609,2012
99,1400000US48029131610,61316,3667,1988,108800,48,029,131610,2012
100,1400000US48029131611,76674,1109,471,115300,48,029,131611,2012
101,1400000US48029140600,28412,1516,861,70200,48,029,140600,2012
102,1400000US48029140700,34856,2909,1622,78600,48,029,140700,2012
103,1400000US48029141300,47539,2981,2295,96900,48,029,141300,2012
104,1400000US48029141402,57411,3528,515,123300,48,029,141402,2012
105,1400000US48029110100,33491,229,1879,360500,48,029,110100,2012
106,1400000US48029120902,49787,1785,4871,298400,48,029,120902,2012
107,1400000US48029121403,35327,1958,3181,102300,48,029,121403,2012
108,1400000US48029121604,63002,4739,2839,122100,48,029,121604,2012
109,1400000US48029130600,18440,1909,3176,54900,48,029,130600,2012
110,1400000US48029140200,29674,2075,870,74800,48,029,140200,2012
111,1400000US48029181718,65200,3932,933,131500,48,029,181718,2012
112,1400000US48029181811,75150,3056,1104,159300,48,029,181811,2012
113,1400000US48029190200,36277,2520,1706,176200,48,029,190200,2012
114,1400000US48029190501,37993,1964,829,85900,48,029,190501,2012
115,1400000US48029171902,34129,3186,5893,133700,48,029,171902,2012
116,1400000US48029180400,24838,1245,2602,97800,48,029,180400,2012
117,1400000US48029180701,36645,1381,2324,262000,48,029,180701,2012
118,1400000US48029181100,58692,3637,2588,162000,48,029,181100,2012
119,1400000US48029191405,68222,5406,2515,194500,48,029,191405,2012
120,1400000US48029170900,17329,2285,1308,57600,48,029,170900,2012
121,1400000US48029180503,44191,3955,520,90000,48,029,180503,2012
122,1400000US48029180602,28667,1599,1001,123100,48,029,180602,2012
123,1400000US48029191102,62090,2082,523,260200,48,029,191102,2012
124,1400000US48029110900,14353,222,174,67000,48,029,110900,2012
125,1400000US48029111000,22157,582,949,69700,48,029,111000,2012
126,1400000US48029131612,55014,1744,178,132800,48,029,131612,2012
127,1400000US48029131613,58777,4609,697,127800,48,029,131613,2012
128,1400000US48029190800,106250,1804,318,635800,48,029,190800,2012
129,1400000US48029190901,35971,2518,2766,118400,48,029,190901,2012
130,1400000US48029150900,36693,4716,1035,70500,48,029,150900,2012
131,1400000US48029131614,58278,3194,758,133800,48,029,131614,2012
132,1400000US48029131615,55263,4441,2345,130400,48,029,131615,2012
133,1400000US48029131801,73510,2351,160,151800,48,029,131801,2012
134,1400000US48029131802,59032,4638,1092,141300,48,029,131802,2012
135,1400000US48029191411,62401,2068,2049,271600,48,029,191411,2012
136,1400000US48029191412,166429,1992,121,368700,48,029,191412,2012
137,1400000US48029191413,64932,3990,2270,219000,48,029,191413,2012
138,1400000US48029191503,77420,3477,1342,200000,48,029,191503,2012
139,1400000US48029191504,185250,2512,38,582400,48,029,191504,2012
140,1400000US48029191505,139405,2195,27,364700,48,029,191505,2012
141,1400000US48029191506,65483,2457,1893,272400,48,029,191506,2012
142,1400000US48029191701,124583,1569,36,351900,48,029,191701,2012
143,1400000US48029191806,129359,6994,1439,383000,48,029,191806,2012
144,1400000US48029191807,115417,2749,1020,649000,48,029,191807,2012
145,1400000US48029191808,109468,3006,585,307600,48,029,191808,2012
146,1400000US48029191809,103542,4862,814,282800,48,029,191809,2012
147,1400000US48029191810,80083,2923,2327,211600,48,029,191810,2012
148,1400000US48029191811,120093,3404,379,347800,48,029,191811,2012
149,1400000US48029191702,76296,4737,2442,249900,48,029,191702,2012
150,1400000US48029191812,185867,4475,43,374800,48,029,191812,2012
151,1400000US48029191813,105557,5322,1117,206300,48,029,191813,2012
152,1400000US48029191814,106167,3596,487,230900,48,029,191814,2012
153,1400000US48029191815,112250,4518,1058,265300,48,029,191815,2012
154,1400000US48029191816,66427,1531,880,345900,48,029,191816,2012
155,1400000US48029191817,75608,7367,2895,243500,48,029,191817,2012
156,1400000US48029191900,25531,2377,2266,70400,48,029,191900,2012
157,1400000US48029192000,30988,1005,2929,234300,48,029,192000,2012
158,1400000US48029192100,52045,1231,905,209600,48,029,192100,2012
159,1400000US48029192200,34423,411,1019,176100,48,029,192200,2012
160,1400000US48029192300,64130,2870,1565,291300,48,029,192300,2012
161,1400000US48029980001,-666666666,0,0,-666666666,48,029,980001,2012
162,1400000US48029980002,-666666666,0,0,-666666666,48,029,980002,2012
163,1400000US48029980003,44786,160,921,123100,48,029,980003,2012
164,1400000US48029980004,-666666666,0,0,-666666666,48,029,980004,2012
165,1400000US48029980005,-666666666,0,0,-666666666,48,029,980005,2012
166,1400000US48029121701,55224,2801,1229,130100,48,029,121701,2012
167,1400000US48029121119,57917,3382,1872,139400,48,029,121119,2012
168,1400000US48029121120,55625,3107,2429,122900,48,029,121120,2012
169,1400000US48029121121,92308,2719,144,183100,48,029,121121,2012
170,1400000US48029980100,-666666666,0,16,-666666666,48,029,980100,2012
171,1400000US48029191201,52381,2479,651,155400,48,029,191201,2012
172,1400000US48029191202,47528,2510,2282,154900,48,029,191202,2012
173,1400000US48029190604,36792,3144,1154,75100,48,029,190604,2012
174,1400000US48029191303,67746,1067,378,169700,48,029,191303,2012
175,1400000US48029191304,32346,698,1895,119700,48,029,191304,2012
176,1400000US48029191410,29442,631,4291,139400,48,029,191410,2012
177,1400000US48029121122,82543,4690,693,150900,48,029,121122,2012
178,1400000US48029121605,60260,1574,759,103000,48,029,121605,2012
179,1400000US48029121606,47570,2658,2323,99800,48,029,121606,2012
180,1400000US48029121702,81131,4878,1565,177800,48,029,121702,2012
181,1400000US48029121808,77536,2514,647,139300,48,029,121808,2012
182,1400000US48029121809,66504,3957,592,127500,48,029,121809,2012
183,1400000US48029121810,73256,3914,792,140800,48,029,121810,2012
184,1400000US48029121811,75563,4263,812,168000,48,029,121811,2012
185,1400000US48029121812,65247,4786,754,139100,48,029,121812,2012
186,1400000US48029121813,59808,1188,355,116700,48,029,121813,2012
187,1400000US48029121903,103411,4390,687,212200,48,029,121903,2012
188,1400000US48029121904,119931,3326,441,203800,48,029,121904,2012
189,1400000US48029121905,112477,3629,1117,344000,48,029,121905,2012
190,1400000US48029121906,89195,3553,1488,195300,48,029,121906,2012
191,1400000US48029181809,42773,3750,2323,98000,48,029,181809,2012
192,1400000US48029182101,115951,6221,339,343300,48,029,182101,2012
193,1400000US48029190601,30897,2343,1398,70400,48,029,190601,2012
194,1400000US48029191004,31318,1432,2565,93300,48,029,191004,2012
195,1400000US48029181302,43291,2274,3463,124300,48,029,181302,2012
196,1400000US48029180902,44678,4333,3861,87000,48,029,180902,2012
197,1400000US48029181003,36014,384,5593,91100,48,029,181003,2012
198,1400000US48029181005,26480,170,3419,138000,48,029,181005,2012
199,1400000US48029181506,36423,2534,1944,119900,48,029,181506,2012
200,1400000US48029181715,50525,4842,1849,95800,48,029,181715,2012
201,1400000US48029181808,41424,219,1029,253100,48,029,181808,2012
202,1400000US48029182102,114423,6019,784,293900,48,029,182102,2012
203,1400000US48029191101,101136,1395,148,230300,48,029,191101,2012
204,1400000US48029191406,119140,5899,1071,284900,48,029,191406,2012
205,1400000US48029191408,33407,166,2837,132500,48,029,191408,2012
206,1400000US48029191409,33214,977,5449,156900,48,029,191409,2012
207,1400000US48029171402,30570,4016,633,74900,48,029,171402,2012
208,1400000US48029171401,32799,2713,1470,81100,48,029,171401,2012
209,1400000US48029171501,34450,1717,522,67400,48,029,171501,2012
210,1400000US48029171502,31473,3932,1668,59100,48,029,171502,2012
211,1400000US48029171601,36852,2335,1954,65800,48,029,171601,2012
212,1400000US48029171602,26944,2430,1154,68400,48,029,171602,2012
213,1400000US48029171913,35521,2774,2459,88100,48,029,171913,2012
214,1400000US48029121907,87366,8096,1575,213800,48,029,121907,2012
215,1400000US48029121908,114055,2034,112,299100,48,029,121908,2012
216,1400000US48029121909,68310,3600,856,177100,48,029,121909,2012
217,1400000US48029121910,98500,3597,783,191900,48,029,121910,2012
218,1400000US48029130402,20926,1561,2324,55600,48,029,130402,2012
219,1400000US48029131503,51689,2506,831,88400,48,029,131503,2012
220,1400000US48029131504,47348,2442,1667,75700,48,029,131504,2012
221,1400000US48029130401,23453,2032,1258,72100,48,029,130401,2012
222,1400000US48029131401,48311,5223,1780,93700,48,029,131401,2012
223,1400000US48029131402,46995,2552,505,87400,48,029,131402,2012
224,1400000US48029131505,65607,3139,525,114700,48,029,131505,2012
225,1400000US48029171914,57195,4786,1017,99900,48,029,171914,2012
226,1400000US48029171915,69472,1639,452,101000,48,029,171915,2012
227,1400000US48029171916,66683,6211,1263,143600,48,029,171916,2012
228,1400000US48029171917,70042,6274,2707,139800,48,029,171917,2012
229,1400000US48029171918,76339,3338,1706,160900,48,029,171918,2012
230,1400000US48029171919,56889,3028,465,119100,48,029,171919,2012
231,1400000US48029171920,61016,6851,2125,103800,48,029,171920,2012
232,1400000US48029171921,56216,4358,1554,94800,48,029,171921,2012
233,1400000US48029171922,67574,2823,488,114500,48,029,171922,2012
234,1400000US48029171923,54320,5358,2554,112100,48,029,171923,2012
235,1400000US48029171924,77840,2654,1981,218900,48,029,171924,2012
236,1400000US48029171925,64453,7671,1608,145300,48,029,171925,2012
237,1400000US48029172003,72132,3801,2672,164400,48,029,172003,2012
238,1400000US48029172004,81705,2895,184,242600,48,029,172004,2012
239,1400000US48029172005,84024,2719,246,222600,48,029,172005,2012
240,1400000US48029172006,83180,5710,517,178100,48,029,172006,2012
241,1400000US48029172007,85352,8849,761,175000,48,029,172007,2012
242,1400000US48029180101,43986,3099,2226,113100,48,029,180101,2012
243,1400000US48029181403,36643,679,5449,80300,48,029,181403,2012
244,1400000US48029181722,87571,3978,549,143200,48,029,181722,2012
245,1400000US48029180102,37692,1474,409,114000,48,029,180102,2012
246,1400000US48029180603,36731,829,829,130400,48,029,180603,2012
247,1400000US48029180604,44545,3336,2748,115400,48,029,180604,2012
248,1400000US48029181404,39539,501,3552,123300,48,029,181404,2012
249,1400000US48029181720,95827,3977,162,183300,48,029,181720,2012
250,1400000US48029181721,81826,3287,521,147100,48,029,181721,2012
251,1400000US48029181723,71752,3979,1021,119800,48,029,181723,2012
252,1400000US48029181724,89226,4286,534,169500,48,029,181724,2012
253,1400000US48029181725,40889,1649,3609,107300,48,029,181725,2012
254,1400000US48029181726,76667,7772,1686,162300,48,029,181726,2012
255,1400000US48029191804,109435,5691,201,265600,48,029,191804,2012
256,1400000US48029110500,11010,502,1626,78700,48,029,110500,2012
257,1400000US48029121000,41895,3923,2911,121300,48,029,121000,2012
258,1400000US48029121110,69565,4217,887,132800,48,029,121110,2012
259,1400000US48029121506,46250,2901,2160,81400,48,029,121506,2012
260,1400000US48029130500,20576,2324,2089,54900,48,029,130500,2012
261,1400000US48029131300,38318,4701,1286,85600,48,029,131300,2012
262,1400000US48029131606,63877,4225,755,128400,48,029,131606,2012
263,1400000US48029110300,23841,1491,1657,105000,48,029,110300,2012
264,1400000US48029120100,61940,45,3432,62100,48,029,120100,2012
265,1400000US48029120600,54308,3035,3005,168800,48,029,120600,2012
266,1400000US48029120901,48043,978,1209,185400,48,029,120901,2012
267,1400000US48029121112,54884,1821,2033,139400,48,029,121112,2012
268,1400000US48029151900,36027,3505,2680,70100,48,029,151900,2012
269,1400000US48029140900,24727,1034,713,62000,48,029,140900,2012
270,1400000US48029141700,54020,4137,922,135100,48,029,141700,2012
271,1400000US48029150501,28558,2912,1344,49500,48,029,150501,2012
272,1400000US48029160400,31339,3159,1224,67800,48,029,160400,2012
273,1400000US48029161100,32823,7768,1363,69000,48,029,161100,2012
274,1400000US48029170401,16332,2211,1877,50700,48,029,170401,2012
275,1400000US48029171000,28421,3088,2101,53300,48,029,171000,2012
276,1400000US48029171700,42625,4699,2172,84100,48,029,171700,2012
