,NAME,B19013_001E,state,place,year
108,"Rocksprings town, Texas",37250,48,62816,2013
109,"San Diego city, Texas",32965,48,65180,2013
110,"Beckville city, Texas",39130,48,07108,2013
111,"Gary City town, Texas",54028,48,29108,2013
112,"Crosby CDP, Texas",58750,48,17756,2013
113,"Galena Park city, Texas",40191,48,27996,2013
114,"Hilshire Village city, Texas",182083,48,34148,2013
115,"Katy city, Texas",68953,48,38476,2013
116,"Sansom Park city, Texas",35046,48,65660,2013
117,"Trophy Club town, Texas",124593,48,73710,2013
118,"Westover Hills town, Texas",205833,48,77788,2013
119,"Hallettsville city, Texas",34567,48,31868,2013
120,"Siesta Shores CDP, Texas",38806,48,67778,2013
121,"Brushy Creek CDP, Texas",98536,48,10897,2013
122,"Weir city, Texas",69205,48,77056,2013
123,"China Grove town, Texas",90341,48,14716,2013
124,"Converse city, Texas",62518,48,16468,2013
125,"Amarillo city, Texas",45984,48,03000,2013
126,"Timberwood Park CDP, Texas",107514,48,73057,2013
127,"Whiteface town, Texas",41591,48,78328,2013
128,"César Chávez CDP, Texas",29609,48,14038,2013
129,"Coyote Flats city, Texas",50769,48,17429,2013
130,"Van city, Texas",39676,48,74912,2013
131,"Winfield city, Texas",34318,48,79720,2013
132,"Laughlin AFB CDP, Texas",48490,48,41704,2013
133,"Lockney town, Texas",47969,48,43252,2013
134,"Mesquite city, Texas",50525,48,47892,2013
135,"Childress city, Texas",39138,48,14668,2013
136,"Blossom city, Texas",34904,48,08812,2013
137,"Paris city, Texas",31689,48,55080,2013
138,"Grand Prairie city, Texas",53927,48,30464,2013
139,"Lewisville city, Texas",58580,48,42508,2013
140,"Falls City city, Texas",47396,48,25392,2013
141,"Bear Creek village, Texas",101534,48,06242,2013
142,"Grapeland city, Texas",25882,48,30632,2013
143,"Lovelady city, Texas",40000,48,44260,2013
144,"Coahoma town, Texas",58594,48,15700,2013
145,"Tira town, Texas",46250,48,73124,2013
146,"Anson city, Texas",34323,48,03372,2013
147,"Stamford city, Texas",36862,48,69980,2013
148,"Robstown city, Texas",34477,48,62600,2013
149,"Spofford city, Texas",24375,48,69560,2013
150,"Huntsville city, Texas",27362,48,35528,2013
151,"Jasper city, Texas",22369,48,37420,2013
152,"Kirbyville city, Texas",24203,48,39460,2013
153,"Bayou Vista city, Texas",83811,48,06060,2013
154,"Kemah city, Texas",70208,48,38776,2013
155,"San Leon CDP, Texas",49328,48,65564,2013
156,"Santa Fe city, Texas",62394,48,65726,2013
157,"Cactus city, Texas",42108,48,11692,2013
158,"Snook city, Texas",36250,48,68576,2013
159,"Somerville city, Texas",40313,48,68720,2013
160,"Sunray city, Texas",53333,48,71180,2013
161,"Waller city, Texas",49141,48,76228,2013
162,"Alice city, Texas",38819,48,01852,2013
163,"Onalaska city, Texas",29091,48,54048,2013
164,"Oak Ridge town (Cooke County), Texas",39167,48,53154,2013
165,"Briar CDP, Texas",41597,48,10192,2013
166,"Hudson Oaks city, Texas",116786,48,35254,2013
167,"Forest Hill city, Texas",42685,48,26544,2013
168,"Hurst city, Texas",51908,48,35576,2013
169,"Kennedale city, Texas",73854,48,38896,2013
170,"Millsap town, Texas",52292,48,48564,2013
171,"Riverside city, Texas",47102,48,62408,2013
172,"El Cenizo city, Texas",21134,48,22905,2013
173,"Rio Bravo city, Texas",27174,48,62138,2013
174,"Hudson city, Texas",34303,48,35228,2013
175,"Clyde city, Texas",46447,48,15676,2013
176,"Flatonia town, Texas",40000,48,26028,2013
177,"Double Oak town, Texas",125179,48,21028,2013
178,"Lakewood Village city, Texas",96250,48,41050,2013
179,"Broaddus town, Texas",31250,48,10384,2013
180,"Sonora city, Texas",53167,48,68756,2013
181,"Doolittle CDP, Texas",26307,48,20926,2013
182,"Havana CDP, Texas",48494,48,32792,2013
183,"La Joya city, Texas",32328,48,40384,2013
184,"La Villa city, Texas",21447,48,41788,2013
185,"Lavon city, Texas",69841,48,41800,2013
186,"Little Elm city, Texas",83223,48,43012,2013
187,"Elm Creek CDP, Texas",33494,48,23254,2013
188,"Van Vleck CDP, Texas",61250,48,75068,2013
189,"Angus city, Texas",28750,48,03288,2013
190,"Emhouse town, Texas",26250,48,24168,2013
191,"Bogata city, Texas",31635,48,09172,2013
192,"Fate city, Texas",83956,48,25572,2013
193,"Selma city, Texas",76915,48,66704,2013
194,"Blum town, Texas",35000,48,09004,2013
195,"Hubbard city, Texas",35341,48,35180,2013
196,"Brady city, Texas",33458,48,09916,2013
197,"Hearne city, Texas",27143,48,32972,2013
198,"Bailey's Prairie village, Texas",95625,48,05288,2013
199,"McLendon-Chisholm city, Texas",109015,48,45804,2013
200,"Industry city, Texas",31875,48,35984,2013
201,"Bellville city, Texas",39861,48,07432,2013
202,"Bonney village, Texas",46563,48,09388,2013
203,"Brookside Village city, Texas",68073,48,10648,2013
204,"Clute city, Texas",42180,48,15652,2013
205,"Iowa Colony village, Texas",72813,48,36092,2013
206,"Jones Creek village, Texas",57813,48,37984,2013
207,"Oyster Creek city, Texas",37969,48,54528,2013
208,"Quintana town, Texas",38750,48,60164,2013
209,"Surfside Beach city, Texas",42692,48,71384,2013
210,"Rice city, Texas",40750,48,61736,2013
211,"Royse City city, Texas",65213,48,63668,2013
212,"Huxley city, Texas",50250,48,35636,2013
213,"Palisades village, Texas",60000,48,54726,2013
214,"Nash city, Texas",37686,48,50352,2013
215,"Channelview CDP, Texas",49892,48,14236,2013
216,"League City city, Texas",89339,48,41980,2013
217,"Huntington city, Texas",29282,48,35492,2013
218,"Throckmorton town, Texas",34375,48,72896,2013
219,"Early city, Texas",43646,48,21904,2013
220,"Scottsville city, Texas",41667,48,66332,2013
221,"Waskom city, Texas",45507,48,76636,2013
222,"Mabank town, Texas",36618,48,45324,2013
223,"Terrell city, Texas",40036,48,72284,2013
224,"Corrigan town, Texas",30000,48,17036,2013
225,"West Livingston CDP, Texas",44123,48,77662,2013
226,"Horseshoe Bay city, Texas",73214,48,34862,2013
227,"Bedias city, Texas",29375,48,07144,2013
228,"Talty town, Texas",102440,48,71756,2013
229,"Union Valley city, Texas",48846,48,74372,2013
230,"Lindsay city, Texas",84318,48,42868,2013
231,"Lone Oak city, Texas",38321,48,43636,2013
232,"Point Venture village, Texas",76667,48,58586,2013
233,"Escobares city, Texas",21875,48,24552,2013
234,"Lopeño CDP, Texas",-666666666,48,43960,2013
235,"Cut and Shoot city, Texas",49602,48,18260,2013
236,"Encantada-Ranchito-El Calaboz CDP, Texas",17381,48,24223,2013
237,"Salineño CDP, Texas",49375,48,64316,2013
