,NAME,B19013_001E,state,place,year
1720,"La Grulla city, Texas",20395,48,40288,2013
1721,"La Puerta CDP, Texas",21058,48,41458,2013
1722,"Santa Cruz CDP, Texas",-666666666,48,65708,2013
1723,"Leary city, Texas",46719,48,42028,2013
1724,"Redwater city, Texas",46875,48,61340,2013
1725,"Pasadena city, Texas",46058,48,56000,2013
1726,"Pearland city, Texas",92346,48,56348,2013
1727,"South Houston city, Texas",35478,48,69020,2013
1728,"Stafford city, Texas",58682,48,69908,2013
1729,"Buchanan Dam CDP, Texas",38235,48,10984,2013
1730,"Goree city, Texas",21250,48,30296,2013
1731,"Cresson city, Texas",67778,48,17648,2013
1732,"deCordova city, Texas",68714,48,19570,2013
1733,"Gun Barrel City city, Texas",35615,48,31592,2013
1734,"Briarcliff village, Texas",82763,48,10197,2013
1735,"West Lake Hills city, Texas",159738,48,77632,2013
1736,"Windemere CDP, Texas",55500,48,79676,2013
1737,"Encino CDP, Texas",11346,48,24252,2013
1738,"Earth city, Texas",32188,48,21928,2013
1739,"Mustang Ridge city, Texas",51042,48,50200,2013
1740,"Dodson town, Texas",58250,48,20716,2013
1741,"Venus town, Texas",56625,48,75236,2013
1742,"Bronte town, Texas",37054,48,10528,2013
1743,"Markham CDP, Texas",44726,48,46716,2013
1744,"Palacios city, Texas",36083,48,54684,2013
1745,"Corsicana city, Texas",37680,48,17060,2013
1746,"Frost city, Texas",28636,48,27768,2013
1747,"Navarro town, Texas",42500,48,50448,2013
1748,"Johnson City city, Texas",37500,48,37780,2014
1749,"Anton city, Texas",43056,48,03540,2014
1750,"Normangee town, Texas",28750,48,51840,2014
1751,"Blanco city, Texas",40222,48,08536,2014
1752,"Woodbranch city, Texas",62500,48,80044,2014
1753,"Atlanta city, Texas",36237,48,04516,2014
1754,"Texarkana city, Texas",38810,48,72368,2014
1755,"Atascocita CDP, Texas",82361,48,04462,2014
1756,"Deer Park city, Texas",77612,48,19624,2014
1757,"Jacinto City city, Texas",30484,48,37156,2014
1758,"Morgan's Point city, Texas",74583,48,49380,2014
1759,"Seabrook city, Texas",79308,48,66392,2014
1760,"Imperial CDP, Texas",83125,48,35828,2014
1761,"Bloomington CDP, Texas",30840,48,08800,2014
1762,"Malone town, Texas",41563,48,46260,2014
1763,"Penelope town, Texas",44545,48,56672,2014
1764,"Goldthwaite city, Texas",36161,48,30056,2014
1765,"McCamey city, Texas",36477,48,45432,2014
1766,"Plainview city, Texas",42419,48,57980,2014
1767,"Quanah city, Texas",30175,48,60044,2014
1768,"Everman city, Texas",37212,48,24912,2014
1769,"Nordheim city, Texas",37250,48,51792,2014
1770,"Homestead Meadows South CDP, Texas",32949,48,34673,2014
1771,"Colleyville city, Texas",151169,48,15988,2014
1772,"Haslet city, Texas",89000,48,32720,2014
1773,"Watauga city, Texas",61716,48,76672,2014
1774,"Moulton town, Texas",56442,48,49560,2014
1775,"Morales-Sanchez CDP, Texas",28125,48,49314,2014
1776,"Georgetown city, Texas",62219,48,29336,2014
1777,"Hutto city, Texas",70519,48,35624,2014
1778,"Idalou city, Texas",59605,48,35732,2014
1779,"Southmayd city, Texas",44583,48,69104,2014
1780,"Whitesboro city, Texas",39261,48,78532,2014
1781,"Whitewright town, Texas",41758,48,78628,2014
1782,"Lubbock city, Texas",44139,48,45000,2014
1783,"Slaton city, Texas",37756,48,68180,2014
1784,"Allen city, Texas",102120,48,01924,2014
1785,"Parker city, Texas",151420,48,55152,2014
1786,"Wheeler city, Texas",59861,48,78208,2014
1787,"Canton city, Texas",39325,48,12496,2014
1788,"Edgewood town, Texas",32153,48,22612,2014
1789,"Bayview town, Texas",57250,48,06140,2014
1790,"Del Mar Heights CDP, Texas",30513,48,19714,2014
1791,"El Camino Angosto CDP, Texas",-666666666,48,22858,2014
1792,"Indian Lake town, Texas",33750,48,35918,2014
1793,"Laguna Heights CDP, Texas",22699,48,40300,2014
1794,"Socorro city, Texas",30416,48,68636,2014
1795,"Dayton city, Texas",51477,48,19432,2014
1796,"Highland Park town, Texas",192946,48,33824,2014
1797,"Sunnyvale town, Texas",100517,48,71156,2014
1798,"Poteet city, Texas",37634,48,59084,2014
1799,"Hughes Springs city, Texas",25250,48,35300,2014
1800,"Mertzon city, Texas",61000,48,47832,2014
1801,"Lolita CDP, Texas",76929,48,43432,2014
1802,"Roma Creek CDP, Texas",62989,48,63026,2014
1803,"Aubrey city, Texas",60735,48,04600,2014
1804,"Burke city, Texas",54219,48,11380,2014
1805,"Poynor town, Texas",41625,48,59192,2014
1806,"Homestead Meadows North CDP, Texas",33542,48,34671,2014
1807,"Loraine town, Texas",25694,48,43996,2014
1808,"Dublin city, Texas",42381,48,21484,2014
1809,"Stephenville city, Texas",35015,48,70208,2014
1810,"Brazoria city, Texas",46397,48,10072,2014
1811,"Freeport city, Texas",36341,48,27420,2014
1812,"Aquilla city, Texas",38036,48,03588,2014
1813,"Tynan CDP, Texas",33281,48,74168,2014
1814,"Carthage city, Texas",45323,48,13108,2014
1815,"Uvalde city, Texas",35940,48,74588,2014
1816,"Uvalde Estates CDP, Texas",31812,48,74594,2014
1817,"Azle city, Texas",54171,48,05168,2014
1818,"Bellevue city, Texas",37344,48,07396,2014
1819,"Dumas city, Texas",46475,48,21556,2014
1820,"Cove city, Texas",80938,48,17336,2014
1821,"Ropesville city, Texas",40139,48,63140,2014
1822,"Camp Swift CDP, Texas",39009,48,12334,2014
1823,"Friendswood city, Texas",95120,48,27648,2014
1824,"Kingsland CDP, Texas",39444,48,39304,2014
1825,"Talco city, Texas",31250,48,71732,2014
1826,"Pecan Hill city, Texas",55893,48,56485,2014
1827,"Lindsay CDP, Texas",57925,48,42874,2014
1828,"Archer City city, Texas",39750,48,03696,2014
1829,"Abbott city, Texas",58542,48,00100,2014
1830,"Arcola city, Texas",50536,48,03708,2014
1831,"Four Corners CDP, Texas",63814,48,27102,2014
1832,"Sienna Plantation CDP, Texas",130300,48,67766,2014
1833,"Sugar Land city, Texas",105400,48,70808,2014
1834,"Thompsons town, Texas",38889,48,72740,2014
1835,"Anahuac city, Texas",48125,48,03144,2014
1836,"Winnie CDP, Texas",44167,48,79792,2014
1837,"Laredo Ranchettes West CDP, Texas",-666666666,48,41475,2014
1838,"Las Haciendas CDP, Texas",-666666666,48,41565,2014
1839,"Las Palmas CDP, Texas",-666666666,48,41579,2014
1840,"Las Palmas II CDP, Texas",20556,48,41580,2014
1841,"Las Pilas CDP, Texas",-666666666,48,41582,2014
1842,"Las Quintas Fronterizas CDP, Texas",21667,48,41583,2014
1843,"La Tina Ranch CDP, Texas",16683,48,41660,2014
1844,"Leming CDP, Texas",31050,48,42256,2014
1845,"Linn CDP, Texas",29342,48,42916,2014
1846,"Campbell city, Texas",40357,48,12112,2014
1847,"Rose Hill Acres city, Texas",67750,48,63272,2014
1848,"Smyer town, Texas",43333,48,68504,2014
1849,"Mineola city, Texas",40266,48,48648,2014
1850,"Greenville city, Texas",36960,48,30920,2014
1851,"Quinlan city, Texas",38194,48,60140,2014
1852,"Wolfe City city, Texas",32978,48,79948,2014
1853,"Marion city, Texas",48438,48,46692,2014
1854,"Santa Clara city, Texas",81875,48,65690,2014
1855,"Edcouch city, Texas",19489,48,22528,2014
1856,"Granjeno city, Texas",53571,48,30608,2014
1857,"Llano Grande CDP, Texas",30455,48,43150,2014
1858,"Doffing CDP, Texas",24947,48,20734,2014
1859,"Faysville CDP, Texas",29385,48,25656,2014
1860,"San Carlos CDP, Texas",25648,48,65048,2014
1861,"Scissors CDP, Texas",20734,48,66248,2014
1862,"Wellman city, Texas",43958,48,77164,2014
1863,"Lometa city, Texas",26000,48,43516,2014
1864,"Cottonwood Shores city, Texas",43750,48,17208,2014
1865,"Meadowlakes city, Texas",70491,48,47330,2014
1866,"Brownsboro city, Texas",48333,48,10756,2014
1867,"Malakoff city, Texas",26831,48,46224,2014
1868,"Star Harbor city, Texas",67273,48,70076,2014
1869,"Yoakum city, Texas",37460,48,80560,2014
1870,"Texas City city, Texas",44659,48,72392,2014
1871,"Deweyville CDP, Texas",48824,48,20212,2014
1872,"Decatur city, Texas",48831,48,19528,2014
1873,"Wallis city, Texas",54375,48,76240,2014
1874,"Alvin city, Texas",45164,48,02272,2014
1875,"Brownfield city, Texas",37708,48,10720,2014
1876,"Beasley city, Texas",44375,48,06272,2014
1877,"Kountze city, Texas",34750,48,39868,2014
1878,"Eustace city, Texas",39861,48,24828,2014
1879,"Murchison city, Texas",44063,48,50076,2014
1880,"Fort Bliss CDP, Texas",47602,48,26664,2014
1881,"Sparks CDP, Texas",22476,48,69432,2014
1882,"Tornillo CDP, Texas",26694,48,73376,2014
1883,"Weston Lakes city, Texas",155667,48,77746,2014
1884,"Spring Valley Village city, Texas",171026,48,69830,2014
1885,"Iola city, Texas",58068,48,36068,2014
1886,"Von Ormy city, Texas",38229,48,75764,2014
1887,"Los Corralitos CDP, Texas",-666666666,48,44079,2014
1888,"Los Ebanos CDP (Hidalgo County), Texas",16031,48,44104,2014
1889,"Los Ebanos CDP (Starr County), Texas",18864,48,44110,2014
1890,"Loma Linda East CDP (Starr County), Texas",-666666666,48,43463,2014
1891,"Loma Grande CDP, Texas",-666666666,48,43458,2014
1892,"Loma Linda CDP, Texas",-666666666,48,43460,2014
1893,"Loma Linda East CDP (Jim Wells County), Texas",36905,48,43462,2014
1894,"Loma Linda West CDP, Texas",-666666666,48,43465,2014
1895,"Loma Vista CDP, Texas",-666666666,48,43474,2014
1896,"Lindale city, Texas",50778,48,42820,2014
1897,"Longoria CDP, Texas",-666666666,48,43822,2014
1898,"Loop CDP, Texas",46875,48,43948,2014
1899,"Los Altos CDP, Texas",-666666666,48,44038,2014
1900,"Los Angeles CDP, Texas",-666666666,48,44062,2014
1901,"Los Arcos CDP, Texas",-666666666,48,44072,2014
1902,"Los Arrieros CDP, Texas",36369,48,44075,2014
1903,"Los Barreras CDP, Texas",31818,48,44076,2014
1904,"Los Centenarios CDP, Texas",-666666666,48,44078,2014
1905,"Abram CDP, Texas",27699,48,01060,2014
1906,"Aguilares CDP, Texas",-666666666,48,01420,2014
1907,"Airport Heights CDP, Texas",38750,48,01500,2014
1908,"Amada Acres CDP, Texas",-666666666,48,02286,2014
1909,"Alfred CDP, Texas",-666666666,48,01816,2014
1910,"Alto Bonito Heights CDP, Texas",28393,48,02194,2014
1911,"Amargosa CDP, Texas",-666666666,48,02290,2014
1912,"Amaya CDP, Texas",27292,48,03008,2014
1913,"B and E CDP, Texas",21136,48,05520,2014
1914,"Barrera CDP, Texas",-666666666,48,05690,2014
1915,"Benjamin Perez CDP, Texas",-666666666,48,07642,2014
1916,"Bonanza Hills CDP, Texas",-666666666,48,09310,2014
1917,"Amistad CDP, Texas",30625,48,03096,2014
1918,"Box Canyon CDP, Texas",2499,48,09656,2014
1919,"Boys Ranch CDP, Texas",67679,48,09796,2014
1920,"Charlotte city, Texas",29448,48,14404,2014
1921,"Hawk Cove city, Texas",37750,48,32810,2014
1922,"McQueeney CDP, Texas",71512,48,45948,2014
1923,"Seguin city, Texas",36755,48,66644,2014
1924,"Fresno CDP, Texas",66705,48,27540,2014
1925,"Rosenberg city, Texas",44318,48,63284,2014
1926,"Old River-Winfree city, Texas",65917,48,53824,2014
1927,"Lumberton city, Texas",62166,48,45120,2014
1928,"Opdyke West town, Texas",27083,48,54075,2014
1929,"Sundown city, Texas",53594,48,71060,2014
1930,"Centerville city, Texas",40515,48,13900,2014
1931,"Leona city, Texas",90313,48,42340,2014
1932,"Hawkins city, Texas",46750,48,32816,2014
1933,"Lufkin city, Texas",39606,48,45072,2014
1934,"El Campo city, Texas",42491,48,22864,2014
1935,"Blanket town, Texas",31429,48,08596,2014
1936,"Brownwood city, Texas",37933,48,10780,2014
1937,"Anacua CDP, Texas",-666666666,48,03126,2014
1938,"Arroyo Gardens CDP, Texas",65517,48,04176,2014
1939,"Bluetown CDP, Texas",20536,48,08908,2014
1940,"Banquete CDP, Texas",47417,48,05576,2014
1941,"Bee Cave city, Texas",95924,48,07156,2014
1942,"Big Thicket Lake Estates CDP, Texas",34792,48,08240,2014
1943,"Boling CDP, Texas",28333,48,09232,2014
1944,"Cashion Community city, Texas",55000,48,13198,2014
1945,"Brazos Country city, Texas",116667,48,10090,2014
1946,"Coleman city, Texas",32804,48,15916,2014
1947,"Eden city, Texas",51458,48,22552,2014
1948,"Rosita CDP, Texas",30156,48,63350,2014
1949,"Salineño North CDP, Texas",-666666666,48,64322,2014
1950,"Sammy Martinez CDP, Texas",34712,48,64442,2014
1951,"Sam Rayburn CDP, Texas",64009,48,64460,2014
1952,"San Carlos I CDP, Texas",25583,48,65049,2014
1953,"San Carlos II CDP, Texas",-666666666,48,65050,2014
1954,"Sandoval CDP, Texas",-666666666,48,65210,2014
1955,"Sand Springs CDP, Texas",48750,48,65240,2014
1956,"San Fernando CDP, Texas",-666666666,48,65378,2014
1957,"San Juan CDP, Texas",18681,48,65532,2014
1958,"Santa Anna CDP, Texas",-666666666,48,65678,2014
1959,"Santa Rosa CDP, Texas",16250,48,65774,2014
1960,"Santel CDP, Texas",-666666666,48,65777,2014
1961,"Savannah CDP, Texas",97969,48,66000,2014
1962,"Seco Mines CDP, Texas",14482,48,66536,2014
1963,"Webberville village, Texas",46250,48,76924,2014
1964,"East Bernard city, Texas",50326,48,21988,2014
1965,"Meadows Place city, Texas",83578,48,47337,2014
1966,"Teague city, Texas",46526,48,72020,2014
1967,"Conroe city, Texas",46109,48,16432,2014
1968,"Panorama Village city, Texas",61080,48,55008,2014
1969,"Splendora city, Texas",35865,48,69548,2014
1970,"Circle D-KC Estates CDP, Texas",55208,48,14986,2014
1971,"Christine town, Texas",42917,48,14860,2014
1972,"Bloomburg town, Texas",34188,48,08752,2014
1973,"Domino town, Texas",50833,48,20848,2014
1974,"McLean town, Texas",34375,48,45780,2014
1975,"Panhandle town, Texas",60987,48,54960,2014
1976,"Thorndale city, Texas",43214,48,72776,2014
1977,"Schulenburg city, Texas",35200,48,66188,2014
1978,"Carmine city, Texas",34250,48,12916,2014
1979,"Hebbronville CDP, Texas",36220,48,33008,2014
1980,"Buckholts town, Texas",25192,48,11020,2014
1981,"Hewitt city, Texas",70300,48,33428,2014
1982,"Robinson city, Texas",71215,48,62588,2014
1983,"Sierra Blanca CDP, Texas",24327,48,67772,2014
1984,"Lipan city, Texas",33929,48,42940,2014
1985,"Tolar city, Texas",68214,48,73268,2014
1986,"Latexo city, Texas",30682,48,41644,2014
1987,"Big Spring city, Texas",43750,48,08236,2014
1988,"Cumby city, Texas",48889,48,18128,2014
1989,"Sulphur Springs city, Texas",39936,48,70904,2014
1990,"Cuney town, Texas",17031,48,18152,2014
1991,"Terrell Hills city, Texas",127589,48,72296,2014
1992,"Cross Mountain CDP, Texas",149365,48,17811,2014
1993,"Live Oak city, Texas",59286,48,43096,2014
1994,"Canyon city, Texas",41080,48,12532,2014
1995,"Universal City city, Texas",60934,48,74408,2014
1996,"Morton city, Texas",35156,48,49464,2014
1997,"Wortham town, Texas",33690,48,80296,2014
1998,"Spring CDP, Texas",67252,48,69596,2014
1999,"Premont city, Texas",28842,48,59384,2014
2000,"Sandia CDP, Texas",51814,48,65168,2014
2001,"Lakeview town, Texas",28125,48,40888,2014
2002,"Magnolia city, Texas",39167,48,46056,2014
2003,"Montgomery city, Texas",43125,48,49128,2014
2004,"Wells Branch CDP, Texas",46780,48,77196,2014
2005,"Martindale city, Texas",48750,48,46848,2014
2006,"La Feria North CDP, Texas",-666666666,48,40210,2014
2007,"La Paloma CDP, Texas",39306,48,41416,2014
2008,"Laureles CDP, Texas",26411,48,41728,2014
2009,"Bonham city, Texas",33449,48,09328,2014
2010,"Dodd City town, Texas",54500,48,20680,2014
2011,"Honey Grove city, Texas",31667,48,34700,2014
2012,"Sachse city, Texas",91543,48,64064,2014
2013,"DeSoto city, Texas",56911,48,20092,2014
2014,"Farmers Branch city, Texas",58666,48,25452,2014
2015,"Ferris city, Texas",46295,48,25752,2014
2016,"Castroville city, Texas",55405,48,13312,2014
2017,"Port Lavaca city, Texas",42598,48,58916,2014
2018,"San Perlita city, Texas",28750,48,65636,2014
2019,"Bryson city, Texas",30750,48,10960,2014
2020,"Jacksboro city, Texas",41179,48,37168,2014
2021,"Reno city (Lamar County), Texas",68065,48,61592,2014
2022,"Ralls city, Texas",37321,48,60356,2014
2023,"Alvord town, Texas",53018,48,02284,2014
2024,"Rhome city, Texas",65000,48,61700,2014
2025,"Cedar Hill city, Texas",67913,48,13492,2014
2026,"Garland city, Texas",51997,48,29000,2014
2027,"Grapevine city, Texas",75931,48,30644,2014
2028,"Richardson city, Texas",70959,48,61796,2014
2029,"Lasara CDP, Texas",26350,48,41548,2014
2030,"Raymondville city, Texas",24150,48,60836,2014
2031,"Chester town, Texas",40625,48,14584,2014
2032,"Colmesneil city, Texas",42981,48,16048,2014
2033,"Floresville city, Texas",45933,48,26160,2014
2034,"Poth town, Texas",59348,48,59096,2014
2035,"Wixon Valley city, Texas",77188,48,79919,2014
2036,"Garrett town, Texas",36313,48,29036,2014
2037,"Walnut Springs city, Texas",32143,48,76348,2014
2038,"Tehuacana town, Texas",46875,48,72080,2014
2039,"Newcastle city, Texas",29239,48,50868,2014
2040,"Harlingen city, Texas",34868,48,32372,2014
2041,"Los Fresnos city, Texas",42986,48,44116,2014
2042,"Millican town, Texas",60179,48,48516,2014
2043,"Lockhart city, Texas",47859,48,43240,2014
2044,"Barton Creek CDP, Texas",167560,48,05750,2014
2045,"Hudson Bend CDP, Texas",94375,48,35253,2014
2046,"Lago Vista city, Texas",75562,48,40264,2014
2047,"Leander city, Texas",75983,48,42016,2014
2048,"Ozona CDP, Texas",50766,48,54552,2014
2049,"Christoval CDP, Texas",15000,48,14872,2014
2050,"La Vernia city, Texas",49853,48,41764,2014
2051,"Bryan city, Texas",39231,48,10912,2014
2052,"Luling city, Texas",39052,48,45096,2014
2053,"Belton city, Texas",51742,48,07492,2014
2054,"Temple city, Texas",47962,48,72176,2014
2055,"Wellington city, Texas",38173,48,77152,2014
2056,"Blackwell city, Texas",52778,48,08488,2014
2057,"Woodsboro town, Texas",49821,48,80176,2014
2058,"Pattison city, Texas",70938,48,56108,2014
2059,"Golinda city, Texas",44432,48,30092,2014
2060,"Lott city, Texas",36538,48,44176,2014
2061,"Crawford town, Texas",53088,48,17564,2014
2062,"South Fork Estates CDP, Texas",-666666666,48,68966,2014
2063,"Rockdale city, Texas",29323,48,62672,2014
2064,"Bellmead city, Texas",34213,48,07408,2014
2065,"Lacy-Lakeview city, Texas",34704,48,40168,2014
2066,"Lorena city, Texas",59167,48,44020,2014
2067,"McGregor city, Texas",34877,48,45672,2014
2068,"Runge town, Texas",36328,48,63788,2014
2069,"Mountain City city, Texas",114375,48,49600,2014
2070,"Granbury city, Texas",42608,48,30416,2014
2071,"Hooks city, Texas",39853,48,34736,2014
2072,"San Patricio city, Texas",71500,48,65612,2014
2073,"Bullard town, Texas",54945,48,11212,2014
2074,"Aldine CDP, Texas",35152,48,01696,2014
2075,"Baytown city, Texas",46776,48,06128,2014
2076,"Bellaire city, Texas",169663,48,07300,2014
2077,"Cloverleaf CDP, Texas",37410,48,15628,2014
2078,"Hedwig Village city, Texas",78393,48,33068,2014
2079,"Highlands CDP, Texas",55455,48,33836,2014
2080,"Lake Tanglewood village, Texas",112292,48,40804,2014
2081,"Point Blank city, Texas",44444,48,58556,2014
2082,"La Grulla city, Texas",18929,48,40288,2014
2083,"La Puerta CDP, Texas",22260,48,41458,2014
2084,"Santa Cruz CDP, Texas",55156,48,65708,2014
2085,"Leary city, Texas",51818,48,42028,2014
2086,"Redwater city, Texas",45000,48,61340,2014
2087,"Pasadena city, Texas",46585,48,56000,2014
2088,"Pearland city, Texas",94653,48,56348,2014
2089,"South Houston city, Texas",37483,48,69020,2014
2090,"Stafford city, Texas",58519,48,69908,2014
2091,"Buchanan Dam CDP, Texas",34514,48,10984,2014
2092,"Goree city, Texas",25417,48,30296,2014
2093,"Cresson city, Texas",70060,48,17648,2014
2094,"Freer city, Texas",51875,48,27432,2014
2095,"Novice city, Texas",27321,48,52668,2014
2096,"Green Valley Farms CDP, Texas",40305,48,30890,2014
2097,"Grays Prairie village, Texas",70156,48,30752,2014
2098,"Round Top town, Texas",63750,48,63524,2014
2099,"Yznaga CDP, Texas",-666666666,48,80686,2014
2100,"Shallowater city, Texas",56908,48,67136,2014
2101,"Harker Heights city, Texas",63878,48,32312,2014
2102,"Fruitvale city, Texas",32734,48,27804,2014
2103,"Lakeway city, Texas",109628,48,40984,2014
2104,"Uhland city, Texas",38199,48,74216,2014
2105,"Jefferson city, Texas",32361,48,37528,2014
2106,"Corral City town, Texas",31250,48,17024,2014
2107,"Follett city, Texas",63750,48,26328,2014
2108,"Bardwell city, Texas",32778,48,05612,2014
2109,"Rosebud city, Texas",29167,48,63188,2014
2110,"Stockdale city, Texas",39722,48,70376,2014
2111,"Lakeside town (San Patricio County), Texas",41250,48,40738,2014
2112,"Santa Rosa town, Texas",20500,48,65768,2014
2113,"Olmito CDP, Texas",19917,48,53964,2014
2114,"Ratamosa CDP, Texas",-666666666,48,60686,2014
2115,"White Deer town, Texas",64185,48,78316,2014
2116,"Jourdanton city, Texas",61847,48,38116,2014
2117,"Douglassville town, Texas",23750,48,21112,2014
2118,"Queen City city, Texas",34861,48,60080,2014
2119,"Adrian city, Texas",48438,48,01324,2014
2120,"Hitchcock city, Texas",45434,48,34220,2014
2121,"Hondo city, Texas",35305,48,34676,2014
2122,"Encinal city, Texas",25483,48,24240,2014
2123,"Palestine city, Texas",38146,48,54708,2014
2124,"Byers city, Texas",36974,48,11644,2014
2125,"Bolivar Peninsula CDP, Texas",65135,48,09250,2014
2126,"La Marque city, Texas",44040,48,41116,2014
2127,"Paducah town, Texas",33977,48,54600,2014
2128,"Tiki Island village, Texas",115972,48,72989,2014
2129,"Giddings city, Texas",36406,48,29432,2014
2130,"Bruni CDP, Texas",48750,48,10876,2014
2131,"Naples city, Texas",30455,48,50316,2014
2132,"Crystal City city, Texas",26094,48,18020,2014
2133,"La Pryor CDP, Texas",24196,48,41452,2014
2134,"Lawn town, Texas",48056,48,41872,2014
2135,"North Pearsall CDP, Texas",41630,48,52302,2014
2136,"Jacksonville city, Texas",30996,48,37216,2014
2137,"Rusk city, Texas",35417,48,63848,2014
2138,"Alamo Heights city, Texas",110086,48,01600,2014
2139,"Leakey city, Texas",30227,48,42004,2014
2140,"Shavano Park city, Texas",151779,48,67268,2014
2141,"Overton city, Texas",37760,48,54432,2014
2142,"Fronton CDP, Texas",10714,48,27744,2014
2143,"Las Lomas CDP, Texas",24583,48,41566,2014
2144,"Los Alvarez CDP, Texas",31250,48,44044,2014
2145,"North Escobares CDP, Texas",-666666666,48,52068,2014
2146,"Rio Grande City city, Texas",29974,48,62168,2014
2147,"Hamlin city, Texas",33162,48,31964,2014
2148,"Odessa city, Texas",56119,48,53388,2014
2149,"West Odessa CDP, Texas",50938,48,77728,2014
2150,"Petersburg city, Texas",38884,48,56996,2014
2151,"Seth Ward CDP, Texas",26458,48,66848,2014
2152,"Baird city, Texas",39091,48,05336,2014
2153,"Cross Plains town, Texas",32188,48,17816,2014
2154,"Arlington city, Texas",53055,48,04000,2014
2155,"Keller city, Texas",114266,48,38632,2014
2156,"Pecan Acres CDP, Texas",105547,48,56462,2014
2157,"Randolph AFB CDP, Texas",90357,48,60608,2014
2158,"New Chapel Hill city, Texas",55938,48,50876,2014
2159,"Whitehouse city, Texas",71250,48,78388,2014
2160,"Lake View CDP, Texas",123203,48,40966,2014
2161,"Redfield CDP, Texas",22188,48,61040,2014
2162,"Redland CDP, Texas",19970,48,61124,2014
2163,"Regino Ramirez CDP, Texas",-666666666,48,61454,2014
2164,"Ricardo CDP, Texas",34000,48,61724,2014
2165,"Rivereno CDP, Texas",-666666666,48,62318,2014
2166,"Riviera CDP, Texas",40313,48,62468,2014
2167,"Rosharon CDP, Texas",47298,48,63332,2014
2168,"Dickens city, Texas",33500,48,20332,2014
2169,"Tulsita CDP, Texas",-666666666,48,73904,2014
2170,"Annetta town, Texas",113594,48,03336,2014
2171,"Sanctuary town, Texas",57361,48,65066,2014
2172,"Henrietta city, Texas",49087,48,33284,2014
2173,"O'Brien city, Texas",43750,48,53304,2014
2174,"Coyanosa CDP, Texas",42938,48,17408,2014
2175,"Point city, Texas",29464,48,58532,2014
2176,"New Waverly city, Texas",32039,48,51396,2014
2177,"Big Lake city, Texas",52436,48,08212,2014
2178,"New Falcon CDP, Texas",9676,48,50924,2014
2179,"Realitos CDP, Texas",16053,48,60932,2014
2180,"Eldorado city, Texas",43750,48,22960,2014
2181,"Mineral Wells city, Texas",35508,48,48684,2014
2182,"Shadybrook CDP, Texas",41603,48,67010,2014
2183,"Sherwood Shores CDP, Texas",29728,48,67554,2014
2184,"Siesta Acres CDP, Texas",28403,48,67775,2014
2185,"South La Paloma CDP, Texas",29132,48,69072,2014
2186,"Spring Gardens CDP, Texas",37604,48,69708,2014
2187,"Staples city, Texas",46061,48,70052,2014
2188,"Study Butte CDP, Texas",30000,48,70688,2014
2189,"Sunset CDP (Montague County), Texas",50500,48,71264,2014
2190,"Sunset CDP (Starr County), Texas",-666666666,48,71274,2014
2191,"Sunset Acres CDP, Texas",-666666666,48,71289,2014
2192,"Tanquecitos South Acres CDP, Texas",21528,48,71820,2014
2193,"Tanquecitos South Acres II CDP, Texas",-666666666,48,71824,2014
2194,"Terlingua CDP, Texas",89583,48,72248,2014
2195,"Thompsonville CDP, Texas",-666666666,48,72758,2014
2196,"Thunderbird Bay CDP, Texas",47250,48,72902,2014
2197,"Tierra Dorada CDP, Texas",-666666666,48,72950,2014
2198,"Tierra Verde CDP, Texas",31012,48,72954,2014
2199,"Tilden CDP, Texas",55536,48,72992,2014
2200,"Tivoli CDP, Texas",32083,48,73148,2014
2201,"Travis Ranch CDP, Texas",94213,48,73562,2014
2202,"Sarita CDP, Texas",36146,48,65876,2014
2203,"Valle Hermoso CDP, Texas",-666666666,48,74667,2014
2204,"Valle Verde CDP, Texas",-666666666,48,74668,2014
2205,"Valle Vista CDP, Texas",36354,48,74670,2014
2206,"Victoria Vera CDP, Texas",-666666666,48,75432,2014
2207,"Villarreal CDP, Texas",-666666666,48,75617,2014
2208,"Warren CDP, Texas",65536,48,76564,2014
2209,"Welch CDP, Texas",48750,48,77080,2014
2210,"West Alto Bonito CDP, Texas",23307,48,77336,2014
2211,"Western Lake CDP, Texas",60759,48,77490,2014
2212,"Westminster CDP, Texas",36154,48,77680,2014
2213,"Westwood Shores CDP, Texas",36042,48,78040,2014
2214,"Wildwood CDP, Texas",59591,48,79204,2014
2215,"Zarate CDP, Texas",-666666666,48,80724,2014
2216,"Valley View city, Texas",68264,48,74756,2014
2217,"Kenefick town, Texas",32500,48,38872,2014
2218,"River Oaks city, Texas",42622,48,62384,2014
2219,"Saginaw city, Texas",74521,48,64112,2014
2220,"Southlake city, Texas",170742,48,69032,2014
2221,"Solis CDP, Texas",26806,48,68678,2014
2222,"South Padre Island town, Texas",41714,48,69140,2014
2223,"South Point CDP, Texas",67031,48,69194,2014
2224,"Blue Ridge city, Texas",44760,48,08872,2014
2225,"McKinney city, Texas",82988,48,45744,2014
2226,"Mobeetie city, Texas",54861,48,48852,2014
2227,"Edroy CDP, Texas",31029,48,22768,2014
2228,"Cuevitas CDP, Texas",-666666666,48,18104,2014
2229,"Quitaque city, Texas",32083,48,60176,2014
2230,"South Mountain town, Texas",70000,48,69120,2014
2231,"Garden Ridge city, Texas",134309,48,28248,2014
2232,"Mertens town, Texas",27167,48,47820,2014
2233,"Mount Calm city, Texas",37917,48,49692,2014
2234,"Whitney town, Texas",41719,48,78664,2014
2235,"Mason city, Texas",35109,48,46968,2014
