,NAME,Total_Pop,Hispanic_or_Latino,White_alone,Black_alone,Asian_alone,state,place,year
0,"Karnes City city, Texas",3118,2265,1836,179,9,48,38452,2013
1,"Kyle city, Texas",29396,13779,21671,2271,323,48,39952,2013
2,"Hamilton city, Texas",3054,439,2995,31,0,48,31952,2013
3,"Fort Hancock CDP, Texas",1646,1587,1605,0,0,48,26724,2013
4,"Kennard city, Texas",507,20,377,109,0,48,38884,2013
5,"Longview city, Texas",81435,15367,57734,18257,1255,48,43888,2013
6,"White Oak city, Texas",6437,546,5879,245,20,48,78436,2013
7,"Brackettville city, Texas",2094,1661,1999,63,0,48,09868,2013
8,"Galveston city, Texas",48178,14697,34668,9093,1944,48,28068,2013
9,"La Presa CDP, Texas",177,177,177,0,0,48,41449,2013
10,"Ranchos Penitas West CDP, Texas",851,851,851,0,0,48,60539,2013
11,"Caldwell city, Texas",4150,879,3208,653,72,48,11836,2013
12,"Bishop Hills town, Texas",280,34,270,0,0,48,08398,2013
13,"Bandera city, Texas",1234,191,1134,11,50,48,05528,2013
14,"Lakehills CDP, Texas",5817,1068,5455,89,34,48,40576,2013
15,"Miami city, Texas",686,18,674,0,6,48,47988,2013
16,"Hemphill city, Texas",1382,127,1175,180,0,48,33188,2013
17,"Pineland city, Texas",1317,212,1091,208,0,48,57644,2013
18,"Cinco Ranch CDP, Texas",17863,2664,13462,979,2155,48,14929,2013
19,"Jersey Village city, Texas",7694,1277,5646,887,638,48,37612,2013
20,"Southside Place city, Texas",1736,178,1421,20,246,48,69272,2013
21,"Coyote Acres CDP, Texas",427,414,390,0,0,48,17426,2013
22,"Knox City town, Texas",1155,395,1033,31,0,48,39700,2013
23,"Paint Rock town, Texas",232,65,227,0,0,48,54636,2013
24,"Clarendon city, Texas",1977,132,1769,161,22,48,15112,2013
25,"Putnam town, Texas",39,0,39,0,0,48,59984,2013
26,"Guerra CDP, Texas",0,0,0,0,0,48,31484,2013
27,"Ingram city, Texas",2261,535,2141,0,2,48,36032,2013
28,"Moore CDP, Texas",231,139,117,0,0,48,49224,2013
29,"Milam CDP, Texas",1502,19,1382,101,0,48,48324,2013
30,"Happy town, Texas",833,304,789,2,0,48,32156,2013
31,"Buffalo Gap town, Texas",448,24,434,8,0,48,11128,2013
32,"Potosi CDP, Texas",3312,396,3112,3,13,48,59108,2013
33,"Alto town, Texas",1365,103,755,563,36,48,02188,2013
34,"Ranger city, Texas",2921,812,2552,129,7,48,60632,2013
35,"Comfort CDP, Texas",2714,1348,2702,0,0,48,16228,2013
36,"Joaquin city, Texas",720,37,576,136,0,48,37684,2013
37,"Refugio town, Texas",2872,1567,2367,334,0,48,61436,2013
38,"Cantu Addition CDP, Texas",469,469,256,0,0,48,12502,2013
39,"Red Oak city, Texas",10898,2327,8132,2029,250,48,61196,2013
40,"Toyah town, Texas",227,152,227,0,0,48,73496,2013
41,"La Victoria CDP, Texas",47,47,47,0,0,48,41782,2013
42,"Hedley city, Texas",337,119,332,0,0,48,33044,2013
43,"Rockport city, Texas",9507,1833,8500,212,91,48,62804,2013
44,"Beaumont city, Texas",117478,16199,50708,55704,3558,48,07000,2013
45,"Waco city, Texas",126406,38986,86512,27136,2192,48,76000,2013
46,"Winnsboro city, Texas",3145,410,2769,162,2,48,79816,2013
47,"Serenada CDP, Texas",1194,83,1192,0,0,48,66806,2013
48,"Falcon Heights CDP, Texas",70,70,70,0,0,48,25344,2013
49,"La Rosita CDP, Texas",51,51,51,0,0,48,41503,2013
50,"Rule town, Texas",617,56,575,10,0,48,63752,2013
51,"Celeste city, Texas",857,17,759,87,0,48,13672,2013
52,"Glenn Heights city, Texas",11459,2138,4242,6389,54,48,29840,2013
53,"Rising Star town, Texas",1166,173,1163,0,0,48,62252,2013
54,"Lake Kiowa CDP, Texas",2414,0,2336,0,0,48,40624,2013
55,"Lexington town, Texas",1527,194,1178,226,0,48,42532,2013
56,"Stinnett city, Texas",1872,191,1767,21,0,48,70340,2013
57,"Runaway Bay city, Texas",1773,183,1683,0,5,48,63782,2013
58,"Farwell city, Texas",1506,490,1328,69,0,48,25548,2013
59,"Zavalla city, Texas",744,0,660,9,16,48,80728,2013
60,"Elbert CDP, Texas",74,0,74,0,0,48,22840,2013
61,"San Isidro CDP, Texas",280,280,273,0,0,48,65432,2013
62,"Los Indios town, Texas",953,906,882,0,0,48,44128,2013
63,"Tatum city, Texas",1264,467,1096,151,0,48,71924,2013
64,"El Refugio CDP, Texas",265,265,265,0,0,48,24018,2013
65,"Falcon Village CDP, Texas",48,42,48,0,0,48,25356,2013
66,"Roma city, Texas",9857,9770,9381,9,0,48,63020,2013
67,"Red Lick city, Texas",959,27,919,7,0,48,61172,2013
68,"Wake Village city, Texas",5482,263,3870,1459,41,48,76096,2013
69,"Barrett CDP, Texas",3645,459,534,2834,1,48,05696,2013
70,"Bunker Hill Village city, Texas",3725,314,3133,18,500,48,11300,2013
71,"San Ygnacio CDP, Texas",319,319,319,0,0,48,65792,2013
72,"Kermit city, Texas",5534,3298,4871,148,0,48,39004,2013
73,"Sanderson CDP, Texas",745,476,734,0,11,48,65084,2013
74,"Doyle CDP, Texas",123,25,123,0,0,48,21283,2013
75,"Reklaw city, Texas",355,25,332,0,0,48,61508,2013
76,"Cushing city, Texas",603,18,586,0,10,48,18224,2013
77,"Dickinson city, Texas",18879,5578,14976,1972,568,48,20344,2013
78,"Pearsall city, Texas",9299,7853,8205,106,26,48,56384,2013
79,"Evant town, Texas",482,66,471,7,0,48,24864,2013
80,"Andrews city, Texas",11712,6065,10144,228,246,48,03216,2013
81,"Groom town, Texas",481,51,458,0,3,48,31292,2013
82,"Skellytown town, Texas",536,3,502,0,0,48,68120,2013
83,"Wells town, Texas",1012,131,831,160,0,48,77176,2013
84,"Bartlett city, Texas",1980,798,1349,420,34,48,05732,2013
85,"Granger city, Texas",1468,588,1268,130,5,48,30548,2013
86,"Taylor city, Texas",15734,6257,12434,1780,29,48,71948,2013
87,"Cibolo city, Texas",20564,6430,16410,2190,402,48,14920,2013
88,"St. Hedwig town, Texas",2307,352,2102,91,3,48,64172,2013
89,"Scenic Oaks CDP, Texas",4968,1196,4417,0,335,48,66089,2013
90,"Mount Enterprise city, Texas",446,32,440,2,0,48,49728,2013
91,"Amherst city, Texas",927,567,805,30,0,48,03084,2013
92,"Megargel town, Texas",248,10,222,0,0,48,47460,2013
93,"Flowella CDP, Texas",101,101,96,0,0,48,26220,2013
94,"La Ward city, Texas",219,84,209,0,0,48,41848,2013
95,"Sanford town, Texas",159,35,130,0,1,48,65384,2013
96,"Vanderbilt CDP, Texas",264,115,215,12,0,48,74984,2013
97,"Richland Hills city, Texas",7912,1096,7164,160,41,48,61844,2013
98,"Oak Trail Shores CDP, Texas",2647,643,2065,0,0,48,53212,2013
99,"Moody city, Texas",1474,301,1295,110,0,48,49200,2013
100,"Kenedy city, Texas",3355,2436,1790,94,46,48,38860,2013
101,"Woodcreek city, Texas",1191,73,1168,4,0,48,80058,2013
102,"Crockett city, Texas",6812,835,2695,3572,5,48,17744,2013
103,"Mount Vernon town, Texas",2668,518,2067,462,33,48,49860,2013
104,"Abilene city, Texas",119721,30092,95142,11712,2123,48,01000,2013
105,"Lueders city, Texas",230,7,224,2,0,48,45048,2013
106,"Driscoll city, Texas",690,572,552,0,6,48,21436,2013
107,"Hungerford CDP, Texas",35,0,18,17,0,48,35420,2013
108,"Rocksprings town, Texas",1471,1024,1427,6,0,48,62816,2013
109,"San Diego city, Texas",4980,4497,4509,33,0,48,65180,2013
110,"Beckville city, Texas",809,160,424,327,0,48,07108,2013
111,"Gary City town, Texas",449,2,449,0,0,48,29108,2013
112,"Crosby CDP, Texas",2590,1106,1941,192,1,48,17756,2013
113,"Galena Park city, Texas",11003,8611,9001,865,7,48,27996,2013
114,"Hilshire Village city, Texas",717,30,624,0,70,48,34148,2013
115,"Katy city, Texas",14891,4833,12975,447,306,48,38476,2013
116,"Sansom Park city, Texas",4720,2428,3879,29,66,48,65660,2013
117,"Trophy Club town, Texas",9037,517,8199,144,282,48,73710,2013
118,"Westover Hills town, Texas",734,3,728,0,3,48,77788,2013
119,"Hallettsville city, Texas",2572,238,1870,536,10,48,31868,2013
120,"Siesta Shores CDP, Texas",1116,937,1078,0,0,48,67778,2013
121,"Brushy Creek CDP, Texas",23908,3125,18461,1386,2623,48,10897,2013
122,"Weir city, Texas",593,259,570,0,0,48,77056,2013
123,"China Grove town, Texas",1123,237,873,128,5,48,14716,2013
124,"Converse city, Texas",19023,7165,11680,3571,539,48,16468,2013
125,"Amarillo city, Texas",193153,57383,159831,13485,6243,48,03000,2013
126,"Timberwood Park CDP, Texas",23952,6783,20238,873,1408,48,73057,2013
127,"Whiteface town, Texas",425,194,311,7,1,48,78328,2013
128,"César Chávez CDP, Texas",1762,1570,1546,0,0,48,14038,2013
129,"Coyote Flats city, Texas",283,9,274,0,0,48,17429,2013
130,"Van city, Texas",2639,338,2536,0,41,48,74912,2013
131,"Winfield city, Texas",520,305,445,3,0,48,79720,2013
132,"Laughlin AFB CDP, Texas",1580,151,1251,78,43,48,41704,2013
133,"Lockney town, Texas",1990,1071,1829,54,0,48,43252,2013
134,"Mesquite city, Texas",141201,47559,92869,32604,4640,48,47892,2013
135,"Childress city, Texas",6228,1553,4934,712,26,48,14668,2013
136,"Blossom city, Texas",1570,95,1416,51,0,48,08812,2013
137,"Paris city, Texas",25119,1557,17391,5699,313,48,55080,2013
138,"Grand Prairie city, Texas",178195,77771,110877,36370,11352,48,30464,2013
139,"Lewisville city, Texas",97462,29272,71204,9295,7794,48,42508,2013
140,"Falls City city, Texas",513,107,404,0,0,48,25392,2013
141,"Bear Creek village, Texas",451,21,421,6,1,48,06242,2013
142,"Grapeland city, Texas",1901,81,1349,477,0,48,30632,2013
143,"Lovelady city, Texas",769,48,682,10,13,48,44260,2013
144,"Coahoma town, Texas",576,190,468,0,0,48,15700,2013
145,"Tira town, Texas",297,20,290,2,0,48,73124,2013
146,"Anson city, Texas",2056,816,1886,19,0,48,03372,2013
147,"Stamford city, Texas",3071,1018,2577,120,0,48,69980,2013
148,"Robstown city, Texas",11578,10784,10640,66,60,48,62600,2013
149,"Spofford city, Texas",101,90,101,0,0,48,69560,2013
150,"Huntsville city, Texas",39159,7429,26587,10890,654,48,35528,2013
151,"Jasper city, Texas",7657,1247,3679,3651,39,48,37420,2013
152,"Kirbyville city, Texas",2266,183,1574,557,0,48,39460,2013
153,"Bayou Vista city, Texas",1945,139,1904,7,22,48,06060,2013
154,"Kemah city, Texas",2040,447,1698,27,100,48,38776,2013
155,"San Leon CDP, Texas",4778,1314,3973,86,482,48,65564,2013
156,"Santa Fe city, Texas",12409,1500,11988,21,47,48,65726,2013
157,"Cactus city, Texas",3167,1940,1984,132,870,48,11692,2013
158,"Snook city, Texas",491,13,407,80,0,48,68576,2013
159,"Somerville city, Texas",1578,619,1208,329,9,48,68720,2013
160,"Sunray city, Texas",2261,831,1951,3,6,48,71180,2013
161,"Waller city, Texas",1877,411,1180,544,27,48,76228,2013
162,"Alice city, Texas",19325,16589,17634,166,87,48,01852,2013
163,"Onalaska city, Texas",1736,104,1554,108,11,48,54048,2013
164,"Oak Ridge town (Cooke County), Texas",104,9,104,0,0,48,53154,2013
165,"Briar CDP, Texas",5109,274,4922,48,0,48,10192,2013
166,"Hudson Oaks city, Texas",1871,228,1783,18,11,48,35254,2013
167,"Forest Hill city, Texas",12523,4732,5291,5703,73,48,26544,2013
168,"Hurst city, Texas",37822,8711,31184,2152,900,48,35576,2013
169,"Kennedale city, Texas",6936,630,5878,710,175,48,38896,2013
170,"Millsap town, Texas",404,70,361,0,0,48,48564,2013
171,"Riverside city, Texas",575,49,507,68,0,48,62408,2013
172,"El Cenizo city, Texas",3296,3282,3007,14,0,48,22905,2013
173,"Rio Bravo city, Texas",4849,4751,4766,0,0,48,62138,2013
174,"Hudson city, Texas",4742,1253,3620,564,0,48,35228,2013
175,"Clyde city, Texas",3716,354,3394,36,10,48,15676,2013
176,"Flatonia town, Texas",1567,892,1325,123,23,48,26028,2013
177,"Double Oak town, Texas",2922,173,2715,48,36,48,21028,2013
178,"Lakewood Village city, Texas",727,190,622,4,11,48,41050,2013
179,"Broaddus town, Texas",151,33,151,0,0,48,10384,2013
180,"Sonora city, Texas",3115,1851,2776,61,0,48,68756,2013
181,"Doolittle CDP, Texas",2922,2774,2799,0,0,48,20926,2013
182,"Havana CDP, Texas",364,364,364,0,0,48,32792,2013
183,"La Joya city, Texas",4064,4054,3702,0,0,48,40384,2013
184,"La Villa city, Texas",832,822,731,0,0,48,41788,2013
185,"Lavon city, Texas",2726,197,2081,510,33,48,41800,2013
186,"Little Elm city, Texas",27966,6344,20958,3865,1020,48,43012,2013
187,"Elm Creek CDP, Texas",2090,2090,2001,0,0,48,23254,2013
188,"Van Vleck CDP, Texas",1778,775,1532,246,0,48,75068,2013
189,"Angus city, Texas",350,81,299,31,3,48,03288,2013
190,"Emhouse town, Texas",124,38,117,0,0,48,24168,2013
191,"Bogata city, Texas",1249,52,1197,9,0,48,09172,2013
192,"Fate city, Texas",7123,1054,5615,657,220,48,25572,2013
193,"Selma city, Texas",6369,2344,5069,356,146,48,66704,2013
194,"Blum town, Texas",574,21,573,0,0,48,09004,2013
195,"Hubbard city, Texas",1677,53,1123,532,0,48,35180,2013
196,"Brady city, Texas",5541,2003,4796,75,0,48,09916,2013
197,"Hearne city, Texas",4466,1558,2301,1874,57,48,32972,2013
198,"Bailey's Prairie village, Texas",615,50,456,109,0,48,05288,2013
199,"McLendon-Chisholm city, Texas",2301,459,2245,4,24,48,45804,2013
200,"Industry city, Texas",327,41,233,94,0,48,35984,2013
201,"Bellville city, Texas",4135,828,3369,432,0,48,07432,2013
202,"Bonney village, Texas",498,174,310,143,0,48,09388,2013
203,"Brookside Village city, Texas",1779,714,1399,138,14,48,10648,2013
204,"Clute city, Texas",11232,5524,9279,1262,12,48,15652,2013
205,"Iowa Colony village, Texas",1399,630,943,135,116,48,36092,2013
206,"Jones Creek village, Texas",2219,741,2126,3,10,48,37984,2013
207,"Oyster Creek city, Texas",1084,295,982,52,5,48,54528,2013
208,"Quintana town, Texas",49,1,49,0,0,48,60164,2013
209,"Surfside Beach city, Texas",509,53,481,17,8,48,71384,2013
210,"Rice city, Texas",1209,377,956,31,0,48,61736,2013
211,"Royse City city, Texas",9485,1667,7932,595,110,48,63668,2013
212,"Huxley city, Texas",434,30,429,5,0,48,35636,2013
213,"Palisades village, Texas",240,44,231,8,1,48,54726,2013
214,"Nash city, Texas",2996,500,1813,921,0,48,50352,2013
215,"Channelview CDP, Texas",38919,23024,25584,5697,266,48,14236,2013
216,"League City city, Texas",86136,15310,70368,6934,4732,48,41980,2013
217,"Huntington city, Texas",2008,71,1812,164,0,48,35492,2013
218,"Throckmorton town, Texas",668,49,647,2,5,48,72896,2013
219,"Early city, Texas",2792,361,2686,24,0,48,21904,2013
220,"Scottsville city, Texas",392,25,174,149,18,48,66332,2013
221,"Waskom city, Texas",2169,350,1841,200,0,48,76636,2013
222,"Mabank town, Texas",3719,254,3408,168,55,48,45324,2013
223,"Terrell city, Texas",16027,4673,10989,3561,111,48,72284,2013
224,"Corrigan town, Texas",1643,554,1075,471,0,48,17036,2013
225,"West Livingston CDP, Texas",8024,2054,6176,1552,30,48,77662,2013
226,"Horseshoe Bay city, Texas",3552,99,3380,108,0,48,34862,2013
227,"Bedias city, Texas",305,16,222,75,0,48,07144,2013
228,"Talty town, Texas",1786,139,1569,178,0,48,71756,2013
229,"Union Valley city, Texas",379,16,332,14,2,48,74372,2013
230,"Lindsay city, Texas",1045,14,977,0,46,48,42868,2013
231,"Lone Oak city, Texas",670,3,651,12,0,48,43636,2013
232,"Point Venture village, Texas",888,62,847,3,15,48,58586,2013
233,"Escobares city, Texas",2441,2431,2325,5,0,48,24552,2013
234,"Lopeño CDP, Texas",0,0,0,0,0,48,43960,2013
235,"Cut and Shoot city, Texas",1275,308,1209,8,7,48,18260,2013
236,"Encantada-Ranchito-El Calaboz CDP, Texas",1987,1971,1566,0,0,48,24223,2013
237,"Salineño CDP, Texas",190,190,190,0,0,48,64316,2013
238,"El Quiote CDP, Texas",125,125,125,0,0,48,24013,2013
239,"El Rancho Vela CDP, Texas",188,188,133,0,0,48,24015,2013
240,"El Socio CDP, Texas",239,239,239,0,0,48,24055,2013
241,"Emerald Bay CDP, Texas",841,9,815,26,0,48,24158,2013
242,"Eugenio Saenz CDP, Texas",263,263,251,0,0,48,24738,2013
243,"Evergreen CDP, Texas",0,0,0,0,0,48,24894,2013
244,"Fabrica CDP, Texas",797,774,728,0,0,48,25038,2013
245,"Falconaire CDP, Texas",0,0,0,0,0,48,25338,2013
246,"Falman CDP, Texas",71,0,71,0,0,48,25397,2013
247,"Fernando Salinas CDP, Texas",12,12,12,0,0,48,25744,2013
248,"Flor del Rio CDP, Texas",45,45,45,0,0,48,26130,2013
249,"Fannett CDP, Texas",1980,148,1830,20,82,48,25404,2013
250,"Fort Clark Springs CDP, Texas",993,201,993,0,0,48,26680,2013
251,"Four Points CDP, Texas",0,0,0,0,0,48,27124,2013
252,"Fronton Ranchettes CDP, Texas",107,90,63,0,0,48,27748,2013
253,"Garciasville CDP, Texas",0,0,0,0,0,48,28152,2013
254,"Gail CDP, Texas",289,43,283,0,0,48,27972,2013
255,"Garza-Salinas II CDP, Texas",1005,1005,917,0,0,48,29114,2013
256,"Guadalupe-Guerra CDP, Texas",0,0,0,0,0,48,31442,2013
257,"Guthrie CDP, Texas",145,19,137,0,0,48,31640,2013
258,"Gutierrez CDP, Texas",34,34,34,0,0,48,31646,2013
259,"Hargill CDP, Texas",319,319,232,0,0,48,32300,2013
260,"H. Cuellar Estates CDP, Texas",28,28,28,0,0,48,32910,2013
261,"Hillside Acres CDP, Texas",0,0,0,0,0,48,34105,2013
262,"Hilltop CDP (Frio County), Texas",88,88,39,0,0,48,34130,2013
263,"Hilltop CDP (Starr County), Texas",23,23,23,0,0,48,34133,2013
264,"Hilltop Lakes CDP, Texas",1139,0,1139,0,0,48,34136,2013
265,"Garden City CDP, Texas",307,72,307,0,0,48,28176,2013
266,"Glidden CDP, Texas",426,44,277,128,0,48,29912,2013
267,"Holiday Beach CDP, Texas",484,46,478,0,0,48,34478,2013
268,"Holly Lake Ranch CDP, Texas",3130,165,3092,0,0,48,34586,2013
269,"Horseshoe Bend CDP, Texas",445,18,427,0,0,48,34865,2013
270,"Iglesia Antigua CDP, Texas",378,355,336,0,0,48,35754,2013
271,"Hornsby Bend CDP, Texas",7530,5036,4417,1874,10,48,34856,2013
272,"Hull CDP, Texas",381,0,381,0,0,48,35324,2013
273,"Iago CDP, Texas",304,142,296,8,0,48,35684,2013
274,"Indian Springs CDP, Texas",916,27,895,0,0,48,35954,2013
275,"Indio CDP, Texas",0,0,0,0,0,48,35966,2013
276,"Jardin de San Julian CDP, Texas",0,0,0,0,0,48,37390,2013
277,"JF Villarreal CDP, Texas",38,38,38,0,0,48,37665,2013
278,"Ivanhoe city, Texas",1046,22,874,89,0,48,37112,2013
279,"Juarez CDP, Texas",372,372,355,0,0,48,38168,2013
280,"Kemp city, Texas",1616,179,1329,139,0,48,38788,2013
281,"Asherton city, Texas",1313,1213,1302,1,0,48,04300,2013
282,"West Columbia city, Texas",3915,653,3221,674,0,48,77416,2013
283,"Frankston town, Texas",1117,49,887,223,0,48,27300,2013
284,"Haskell city, Texas",3306,1178,2627,195,18,48,32696,2013
285,"Rochester town, Texas",247,45,195,23,0,48,62636,2013
286,"Midland city, Texas",115903,45207,94205,8893,1779,48,48072,2013
287,"Iraan city, Texas",1258,741,984,65,0,48,36128,2013
288,"Emory city, Texas",1340,257,990,99,2,48,24216,2013
289,"Rotan city, Texas",1563,584,1196,108,1,48,63464,2013
290,"Hale Center city, Texas",2801,1850,2553,68,0,48,31820,2013
291,"Floydada city, Texas",3003,1909,2658,80,0,48,26268,2013
292,"Gordon city, Texas",506,27,490,0,0,48,30272,2013
293,"Midlothian city, Texas",18666,2450,17150,734,124,48,48096,2013
294,"Mauriceville CDP, Texas",3029,288,2915,0,0,48,47100,2013
295,"West Orange city, Texas",3456,407,3090,241,0,48,77752,2013
296,"Strawn city, Texas",487,194,380,35,0,48,70580,2013
297,"Bayside town, Texas",457,109,404,15,0,48,06104,2013
298,"Hempstead city, Texas",5979,1362,2311,3280,0,48,33200,2013
299,"Monahans city, Texas",7072,3692,5962,403,6,48,48936,2013
300,"Briaroaks city, Texas",653,18,643,0,0,48,10216,2013
301,"Cross Timber town, Texas",316,36,307,0,0,48,17917,2013
302,"Avery town, Texas",493,25,443,9,0,48,05072,2013
303,"Eagle Pass city, Texas",26875,25687,24809,84,79,48,21892,2013
304,"Blessing CDP, Texas",1189,1000,1151,38,0,48,08668,2013
305,"Powell town, Texas",125,0,70,30,0,48,59168,2013
306,"Annona town, Texas",356,104,234,104,5,48,03360,2013
307,"Pyote town, Texas",150,32,150,0,0,48,59996,2013
308,"Cameron Park CDP, Texas",8368,8152,8055,0,0,48,12045,2013
309,"Combes town, Texas",2968,2558,2867,0,0,48,16204,2013
310,"Laguna Vista town, Texas",3158,1510,3043,0,32,48,40336,2013
311,"San Pedro CDP, Texas",300,300,300,0,0,48,65620,2013
312,"Cleveland city, Texas",7671,2142,4848,1729,26,48,15436,2013
313,"Bells town, Texas",1816,36,1645,35,8,48,07420,2013
314,"Collinsville town, Texas",1680,107,1609,4,2,48,16036,2013
315,"Denison city, Texas",22697,1982,19025,1692,92,48,19900,2013
316,"Howe town, Texas",2599,256,2350,5,65,48,35084,2013
317,"Tom Bean city, Texas",1092,67,1072,0,0,48,73328,2013
318,"Ransom Canyon town, Texas",1397,204,1339,0,8,48,60672,2013
319,"Wolfforth city, Texas",3791,1103,3162,60,0,48,79972,2013
320,"Anna city, Texas",8528,2016,7410,822,113,48,03300,2013
321,"Farmersville city, Texas",3364,722,2751,308,0,48,25488,2013
322,"Lowry Crossing city, Texas",1758,218,1653,3,4,48,44308,2013
323,"Retreat town, Texas",299,15,292,5,0,48,61616,2013
324,"Barry city, Texas",316,10,316,0,0,48,05708,2013
325,"Dawson town, Texas",762,48,621,123,0,48,19420,2013
326,"Goodlow city, Texas",200,5,18,182,0,48,30188,2013
327,"Miles city, Texas",1032,575,1004,0,0,48,48396,2013
328,"Winters city, Texas",2549,1202,2426,25,5,48,79876,2013
329,"Tenaha town, Texas",1362,317,738,604,0,48,72188,2013
330,"Linden city, Texas",2475,175,1822,477,21,48,42844,2013
331,"Lefors town, Texas",300,7,269,2,0,48,42148,2013
332,"Meridian city, Texas",1700,436,1487,98,0,48,47760,2013
333,"Forney city, Texas",15356,2549,12961,1301,82,48,26604,2013
334,"Oak Ridge town (Kaufman County), Texas",560,28,438,70,0,48,53160,2013
335,"Rosser village, Texas",318,13,209,58,6,48,63404,2013
336,"China city, Texas",920,50,810,101,0,48,14704,2013
337,"Palmview city, Texas",5535,5365,4871,0,41,48,54804,2013
338,"Progreso city, Texas",5629,5550,5133,0,0,48,59636,2013
339,"South Alamo CDP, Texas",4370,4370,4050,101,0,48,68846,2013
340,"Marble Falls city, Texas",6104,2259,5545,331,103,48,46584,2013
341,"Ravenna city, Texas",150,4,141,0,0,48,60752,2013
342,"Orange city, Texas",18789,828,11865,6015,284,48,54132,2013
343,"Fort Hood CDP, Texas",32902,6560,21732,7022,668,48,26736,2013
344,"Tahoka city, Texas",2638,1261,2334,56,0,48,71708,2013
345,"Wilson city, Texas",591,447,514,0,0,48,79612,2013
346,"Pinehurst city, Texas",2017,135,1558,385,10,48,57608,2013
347,"Mingus city, Texas",301,29,283,0,0,48,48720,2013
348,"Marlin city, Texas",5915,1592,2593,2789,158,48,46740,2013
349,"Graham city, Texas",8848,2016,8390,166,0,48,30392,2013
350,"Pharr city, Texas",71634,67077,66770,110,496,48,57200,2013
351,"McAllen city, Texas",132796,112307,116283,1110,3848,48,45384,2013
352,"Muniz CDP, Texas",893,893,470,0,0,48,50058,2013
353,"Mercedes city, Texas",15999,14793,12319,191,0,48,47700,2013
354,"Relampago CDP, Texas",20,20,20,0,0,48,61532,2013
355,"Lampasas city, Texas",6822,1788,5870,361,51,48,41188,2013
356,"Stanton city, Texas",2575,1676,2194,97,0,48,70040,2013
357,"Jolly city, Texas",196,0,194,0,0,48,37924,2013
358,"Weinert city, Texas",221,15,198,18,0,48,77044,2013
359,"Bacliff CDP, Texas",7750,2599,6844,110,0,48,05180,2013
360,"Tierra Grande CDP, Texas",121,20,74,47,0,48,72952,2013
361,"Buna CDP, Texas",2262,12,1889,207,75,48,11236,2013
362,"Sinton city, Texas",5680,3995,4901,350,0,48,68036,2013
363,"Taft city, Texas",3074,2276,2869,14,18,48,71684,2013
364,"Breckenridge city, Texas",5680,1730,4758,145,30,48,10132,2013
365,"Pecos city, Texas",8780,6643,7674,397,0,48,56516,2013
366,"Palmer town, Texas",2483,1018,1984,22,0,48,54744,2013
367,"New Home city, Texas",306,167,287,0,0,48,51012,2013
368,"Vidor city, Texas",10769,704,10481,24,32,48,75476,2013
369,"Carrizo Springs city, Texas",5520,4996,5056,72,0,48,12988,2013
370,"Catarina CDP, Texas",8,0,8,0,0,48,13324,2013
371,"Godley city, Texas",1124,123,1115,0,0,48,29972,2013
372,"Niederwald city, Texas",616,237,427,41,0,48,51492,2013
373,"Westworth Village city, Texas",2500,682,2014,115,55,48,78076,2013
374,"Aurora city, Texas",1408,312,1345,2,0,48,04672,2013
375,"Scurry town, Texas",709,73,695,9,0,48,66368,2013
376,"Roscoe city, Texas",1381,631,1221,0,5,48,63176,2013
377,"Hermleigh CDP, Texas",257,87,228,1,0,48,33356,2013
378,"Alvarado city, Texas",3804,1018,3253,116,31,48,02260,2013
379,"Burleson city, Texas",38165,4446,35783,1337,176,48,11428,2013
380,"Eidson Road CDP, Texas",10140,10010,9808,0,0,48,22810,2013
381,"El Indio CDP, Texas",217,217,217,0,0,48,23080,2013
382,"Kerens city, Texas",1839,85,1241,489,12,48,38992,2013
383,"Snyder city, Texas",11274,4402,9340,465,23,48,68624,2013
384,"Crowley city, Texas",13287,2055,10454,2019,209,48,17960,2013
385,"Joshua city, Texas",5910,814,5681,62,26,48,38080,2013
386,"Robert Lee city, Texas",1116,323,1059,9,0,48,62564,2013
387,"Bay City city, Texas",17575,7144,13412,2522,169,48,05984,2013
388,"Mildred town, Texas",489,27,476,4,2,48,48372,2013
389,"Clarksville city, Texas",3249,521,1896,1255,0,48,15160,2013
390,"Detroit town, Texas",862,73,612,170,0,48,20128,2013
391,"Heath city, Texas",7396,440,7287,34,60,48,32984,2013
392,"Albany city, Texas",2265,282,2008,45,0,48,01648,2013
393,"Barstow city, Texas",443,393,423,0,4,48,05720,2013
394,"Nazareth city, Texas",250,9,246,0,0,48,50496,2013
395,"Milford town, Texas",636,117,468,115,0,48,48408,2013
396,"Balmorhea city, Texas",770,709,744,0,0,48,05468,2013
397,"Texhoma city, Texas",265,60,246,0,0,48,72464,2013
398,"Trinity city, Texas",2671,576,1981,644,0,48,73664,2013
399,"Burkburnett city, Texas",10829,1100,10046,221,44,48,11368,2013
400,"Portland city, Texas",15289,5853,13871,422,340,48,58904,2013
401,"Lincoln Park town, Texas",273,53,250,5,0,48,42808,2013
402,"Gladewater city, Texas",6588,233,5136,1224,59,48,29660,2013
403,"Warren City city, Texas",308,6,264,37,0,48,76576,2013
404,"La Paloma-Lost Creek CDP, Texas",437,348,408,4,0,48,41422,2013
405,"Sandy Hollow-Escondidas CDP, Texas",629,203,629,0,0,48,65342,2013
406,"Arroyo Colorado Estates CDP, Texas",938,938,874,0,0,48,04174,2013
407,"Caney City town, Texas",204,8,147,57,0,48,12472,2013
